MARC tag	Field name	Field repeatability	Field note	SF delimiter	SF name	SF repeatability	SF note	Subfield	Endeca element	i1	i2	Other constraint	Institution
264	PRODUCTION, PUBLICATION, DISTRIBUTION, MANUFACTURE, AND COPYRIGHT NOTICE	R	.	c	Date of production, publication, distribution, manufacture, or copyright notice	R	.	264c	Manufacturer Statement	.	3	.	TRLN
264	PRODUCTION, PUBLICATION, DISTRIBUTION, MANUFACTURE, AND COPYRIGHT NOTICE	R	.	c	Date of production, publication, distribution, manufacture, or copyright notice	R	.	264c	Production Statement	.	0	.	TRLN
264	PRODUCTION, PUBLICATION, DISTRIBUTION, MANUFACTURE, AND COPYRIGHT NOTICE	R	.	c	Date of production, publication, distribution, manufacture, or copyright notice	R	.	264c	Published	.	1	.	TRLN
300	PHYSICAL DESCRIPTION	R	.	a	Extent	R	.	300a	Material	.	.	.	TRLN
300	PHYSICAL DESCRIPTION	R	.	b	Other physical details	NR	.	300b	Material	.	.	.	TRLN
300	PHYSICAL DESCRIPTION	R	.	c	Dimensions	R	.	300c	Material	.	.	.	TRLN
300	PHYSICAL DESCRIPTION	R	.	e	Accompanying material	NR	.	300e	Material	.	.	.	TRLN
300	PHYSICAL DESCRIPTION	R	.	f	Type of unit	R	.	300f	Material	.	.	.	TRLN
300	PHYSICAL DESCRIPTION	R	.	g	Size of unit	R	.	300g	Material	.	.	.	TRLN
310	CURRENT PUBLICATION FREQUENCY	NR	.	a	Current publication frequency	NR	.	310a	Current Frequency	.	.	.	TRLN
310	CURRENT PUBLICATION FREQUENCY	NR	.	b	Date of current publication frequency	NR	.	310b	Current Frequency	.	.	.	TRLN
321	FORMER PUBLICATION FREQUENCY	R	.	a	Former publication frequency	NR	.	321a	Former Frequency	.	.	.	TRLN
321	FORMER PUBLICATION FREQUENCY	R	.	b	Dates of former publication frequency	NR	.	321b	Former Frequency	.	.	.	TRLN
344	SOUND CHARACTERISTICS	R	.	a	Type of recording	R	.	344a	Material Details	.	.	.	TRLN
344	SOUND CHARACTERISTICS	R	.	b	Recording medium	R	.	344b	Material Details	.	.	.	TRLN
344	SOUND CHARACTERISTICS	R	.	c	Playing speed	R	.	344c	Material Details	.	.	.	TRLN
344	SOUND CHARACTERISTICS	R	.	d	Groove characteristic	R	.	344d	Material Details	.	.	.	TRLN
344	SOUND CHARACTERISTICS	R	.	e	Track configuration	R	.	344e	Material Details	.	.	.	TRLN
344	SOUND CHARACTERISTICS	R	.	f	Tape configuration	R	.	344f	Material Details	.	.	.	TRLN
344	SOUND CHARACTERISTICS	R	.	g	Configuration of playback channels	R	.	344g	Material Details	.	.	.	TRLN
344	SOUND CHARACTERISTICS	R	.	h	Special playback characteristics	R	.	344h	Material Details	.	.	.	TRLN
344	SOUND CHARACTERISTICS	R	.	3	Materials specified	NR	.	3443	Material Details	.	.	.	TRLN
345	PROJECTION CHARACTERISTICS OF MOVING IMAGE	R	.	a	Presentation format	R	.	345a	Material Details	.	.	.	TRLN
345	PROJECTION CHARACTERISTICS OF MOVING IMAGE	R	.	b	Projection speed	R	.	345b	Material Details	.	.	.	TRLN
345	PROJECTION CHARACTERISTICS OF MOVING IMAGE	R	.	3	Materials specified	NR	.	3453	Material Details	.	.	.	TRLN
346	VIDEO CHARACTERISTICS	R	.	a	Video format	R	.	346a	Material Details	.	.	.	TRLN
346	VIDEO CHARACTERISTICS	R	.	b	Broadcast standard	R	.	346b	Material Details	.	.	.	TRLN
346	VIDEO CHARACTERISTICS	R	.	3	Materials specified	NR	.	3463	Material Details	.	.	.	TRLN
347	DIGITAL FILE CHARACTERISTICS	R	.	a	File type	R	.	347a	Material Details	.	.	.	TRLN
347	DIGITAL FILE CHARACTERISTICS	R	.	b	Encoding format	R	.	347b	Material Details	.	.	.	TRLN
347	DIGITAL FILE CHARACTERISTICS	R	.	c	File size	R	.	347c	Material Details	.	.	.	TRLN
347	DIGITAL FILE CHARACTERISTICS	R	.	d	Resolution	R	.	347d	Material Details	.	.	.	TRLN
347	DIGITAL FILE CHARACTERISTICS	R	.	e	Regional encoding	R	.	347e	Material Details	.	.	.	TRLN
347	DIGITAL FILE CHARACTERISTICS	R	.	f	Encoded bitrate	R	.	347f	Material Details	.	.	.	TRLN
347	DIGITAL FILE CHARACTERISTICS	R	.	3	Materials specified	NR	.	3473	Material Details	.	.	.	TRLN
351	ORGANIZATION AND ARRANGEMENT OF MATERIALS	R	.	a	Organization	R	.	351a	Organization	.	.	.	TRLN
362	DATES OF PUBLICATION AND/OR SEQUENTIAL DESIGNATION	R	.	a	Dates of publication and/or sequential designation	NR	.	362a	Volumes	.	.	.	TRLN
440	SERIES STATEMENT/ADDED ENTRY--TITLE	R	[OBSOLETE]	a	Title	NR	.	440a	Series Statement	.	.	.	TRLN
440	SERIES STATEMENT/ADDED ENTRY--TITLE	R	[OBSOLETE]	n	Number of part/section of a work	R	.	440n	Series Statement	.	.	.	TRLN
440	SERIES STATEMENT/ADDED ENTRY--TITLE	R	[OBSOLETE]	p	Name of part/section of a work	R	.	440p	Series Statement	.	.	.	TRLN
440	SERIES STATEMENT/ADDED ENTRY--TITLE	R	[OBSOLETE]	v	Volume number/sequential designation 	NR	.	440v	Series Statement	.	.	.	TRLN
440	SERIES STATEMENT/ADDED ENTRY--TITLE	R	[OBSOLETE]	x	International Standard Serial Number	NR	.	440x	Series ISSN	.	.	.	TRLN
440	SERIES STATEMENT/ADDED ENTRY--TITLE	R	[OBSOLETE]	x	International Standard Serial Number	NR	.	440x	Series Statement	.	.	.	TRLN
490	SERIES STATEMENT	R	.	a	Series statement	R	.	490a	Series Statement	.	.	.	TRLN
490	SERIES STATEMENT	R	.	v	Volume number/sequential designation 	R	.	490v	Series Statement	.	.	.	TRLN
490	SERIES STATEMENT	R	.	x	International Standard Serial Number	R	.	490x	Series ISSN	.	.	.	TRLN
490	SERIES STATEMENT	R	.	x	International Standard Serial Number	R	.	490x	Series Statement	.	.	.	TRLN
500	GENERAL NOTE	R	.	a	General note	NR	.	500a	Indexed Notes	.	.	.	TRLN
501	WITH NOTE	R	.	a	With note	NR	.	501a	Indexed Notes	.	.	.	TRLN
502	DISSERTATION NOTE	R	.	a	Dissertation note	NR	.	502a	Indexed Notes	.	.	.	TRLN
504	BIBLIOGRAPHY, ETC. NOTE	R	.	a	Bibliography, etc. note	NR	.	504a	Indexed Notes	.	.	.	TRLN
505	FORMATTED CONTENTS NOTE	R	.	a	Formatted contents note	NR	.	505a	Table of Contents	.	.	.	TRLN
505	FORMATTED CONTENTS NOTE	R	.	g	Miscellaneous information	R	.	505g	Table of Contents	.	.	.	TRLN
505	FORMATTED CONTENTS NOTE	R	.	r	Statement of responsibility	R	.	505r	Table of Contents	.	.	.	TRLN
505	FORMATTED CONTENTS NOTE	R	.	r	Statement of responsibility	R	.	505r	Table of Contents author index	.	.	.	TRLN
505	FORMATTED CONTENTS NOTE	R	.	t	Title	R	.	505t	Table of Contents	.	.	.	TRLN
506	RESTRICTIONS ON ACCESS NOTE	R	.	a	Terms governing access	NR	.	506a	Access Restrictions	.	.	.	TRLN
506	RESTRICTIONS ON ACCESS NOTE	R	.	b	Jurisdiction	R	.	506b	Access Restrictions	.	.	.	TRLN
506	RESTRICTIONS ON ACCESS NOTE	R	.	c	Physical access provisions	R	.	506c	Access Restrictions	.	.	.	TRLN
506	RESTRICTIONS ON ACCESS NOTE	R	.	d	Authorized users	R	.	506d	Access Restrictions	.	.	.	TRLN
506	RESTRICTIONS ON ACCESS NOTE	R	.	e	Authorization	R	.	506e	Access Restrictions	.	.	.	TRLN
506	RESTRICTIONS ON ACCESS NOTE	R	.	f	Standardized terminology for access restriction	R	.	506f	Access Restrictions	.	.	.	TRLN
506	RESTRICTIONS ON ACCESS NOTE	R	.	u	Uniform Resource Identifier	R	.	506u	Access Restrictions	.	.	.	TRLN
507	SCALE NOTE FOR GRAPHIC MATERIAL	NR	.	a	Representative fraction of scale note	NR	.	507a	Indexed Notes	.	.	.	TRLN
507	SCALE NOTE FOR GRAPHIC MATERIAL	NR	.	b	Remainder of scale note	NR	.	507b	Indexed Notes	.	.	.	TRLN
508	CREATION/PRODUCTION CREDITS NOTE	R	.	a	Creation/production credits note	NR	.	508a	Production Credits	.	.	.	TRLN
510	CITATION/REFERENCES NOTE	R	.	a	Name of source	NR	.	510a	Notes	.	.	.	TRLN
510	CITATION/REFERENCES NOTE	R	.	b	Coverage of source	NR	.	510b	Notes	.	.	.	TRLN
510	CITATION/REFERENCES NOTE	R	.	c	Location within source	NR	.	510c	Notes	.	.	.	TRLN
510	CITATION/REFERENCES NOTE	R	.	x	International Standard Serial Number	NR	.	510x	Notes	.	.	.	TRLN
511	PARTICIPANT OR PERFORMER NOTE	R	.	a	Participant or performer note	NR	.	511a	Performer Credits	.	.	.	TRLN
513	TYPE OF REPORT AND PERIOD COVERED NOTE	R	.	a	Type of report	NR	.	513a	Notes	.	.	.	TRLN
513	TYPE OF REPORT AND PERIOD COVERED NOTE	R	.	b	Period covered	NR	.	513b	Notes	.	.	.	TRLN
514	DATA QUALITY NOTE	NR	.	a	Attribute accuracy report	NR	.	514a	Notes	.	.	.	TRLN
514	DATA QUALITY NOTE	NR	.	b	Attribute accuracy value	R	.	514b	Notes	.	.	.	TRLN
514	DATA QUALITY NOTE	NR	.	c	Attribute accuracy explanation	R	.	514c	Notes	.	.	.	TRLN
514	DATA QUALITY NOTE	NR	.	d	Logical consistency report	NR	.	514d	Notes	.	.	.	TRLN
514	DATA QUALITY NOTE	NR	.	e	Completeness report	NR	.	514e	Notes	.	.	.	TRLN
514	DATA QUALITY NOTE	NR	.	f	Horizontal position accuracy report	NR	.	514f	Notes	.	.	.	TRLN
514	DATA QUALITY NOTE	NR	.	g	Horizontal position accuracy value	R	.	514g	Notes	.	.	.	TRLN
514	DATA QUALITY NOTE	NR	.	h	Horizontal position accuracy explanation	R	.	514h	Notes	.	.	.	TRLN
514	DATA QUALITY NOTE	NR	.	i	Vertical positional accuracy report	NR	.	514i	Notes	.	.	.	TRLN
514	DATA QUALITY NOTE	NR	.	j	Vertical positional accuracy value	R	.	514j	Notes	.	.	.	TRLN
514	DATA QUALITY NOTE	NR	.	k	Vertical positional accuracy explanation	R	.	514k	Notes	.	.	.	TRLN
514	DATA QUALITY NOTE	NR	.	m	Cloud cover	NR	.	514m	Notes	.	.	.	TRLN
514	DATA QUALITY NOTE	NR	.	u	Uniform Resource Identifier	R	.	514u	Notes	.	.	.	TRLN
514	DATA QUALITY NOTE	NR	.	z	Display note	R	.	514z	Notes	.	.	.	TRLN
515	NUMBERING PECULIARITIES NOTE	R	.	a	Numbering peculiarities note	NR	.	515a	Notes	.	.	.	TRLN
516	TYPE OF COMPUTER FILE OR DATA NOTE	R	.	a	Type of computer file or data note	NR	.	516a	Notes	.	.	.	TRLN
518	DATE/TIME AND PLACE OF AN EVENT NOTE	R	.	a	Date/time and place of an event note	NR	.	518a	Notes	.	.	.	TRLN
520	SUMMARY, ETC.	R	.	a	Summary, etc. note	NR	.	520a	Summary	.	.	.	TRLN
520	SUMMARY, ETC.	R	.	b	Expansion of summary note	NR	.	520b	Summary	.	.	.	TRLN
520	SUMMARY, ETC.	R	.	u	Uniform Resource Identifier	R	.	520u	Summary	.	.	.	TRLN
521	TARGET AUDIENCE NOTE	R	.	a	Target audience note	R	.	521a	Notes	.	.	.	TRLN
521	TARGET AUDIENCE NOTE	R	.	b	Source	NR	.	521b	Notes	.	.	.	TRLN
522	GEOGRAPHIC COVERAGE NOTE	R	.	a	Geographic coverage note	NR	.	522a	Indexed Notes	.	.	.	TRLN
524	PREFERRED CITATION OF DESCRIBED MATERIALS NOTE	R	.	a	Preferred citation of described materials note	NR	.	524a	Notes	.	.	.	TRLN
525	SUPPLEMENT NOTE	R	.	a	Supplement note	NR	.	525a	Notes	.	.	.	TRLN
530	ADDITIONAL PHYSICAL FORM AVAILABLE NOTE	R	.	a	Additional physical form available note	NR	.	530a	Other Format	.	.	.	TRLN
530	ADDITIONAL PHYSICAL FORM AVAILABLE NOTE	R	.	b	Availability source	NR	.	530b	Other Format	.	.	.	TRLN
530	ADDITIONAL PHYSICAL FORM AVAILABLE NOTE	R	.	c	Availability conditions	NR	.	530c	Other Format	.	.	.	TRLN
530	ADDITIONAL PHYSICAL FORM AVAILABLE NOTE	R	.	u	Uniform Resource Identifier	R	.	530u	Other Format	.	.	.	TRLN
533	REPRODUCTION NOTE	R	.	a	Type of reproduction	NR	.	533a	Notes	.	.	.	TRLN
533	REPRODUCTION NOTE	R	.	b	Place of reproduction	R	.	533b	Notes	.	.	.	TRLN
533	REPRODUCTION NOTE	R	.	c	Agency responsible for reproduction	R	.	533c	Indexed Notes	.	.	.	TRLN
533	REPRODUCTION NOTE	R	.	c	Agency responsible for reproduction	R	.	533c	Notes	.	.	.	TRLN
533	REPRODUCTION NOTE	R	.	d	Date of reproduction	NR	.	533d	Notes	.	.	.	TRLN
533	REPRODUCTION NOTE	R	.	e	Physical description of reproduction	NR	.	533e	Notes	.	.	.	TRLN
533	REPRODUCTION NOTE	R	.	f	Series statement of reproduction	R	.	533f	Indexed Notes	.	.	.	TRLN
533	REPRODUCTION NOTE	R	.	f	Series statement of reproduction	R	.	533f	Notes	.	.	.	TRLN
533	REPRODUCTION NOTE	R	.	m	Dates and/or sequential designation of issues reproduced	R	.	533m	Notes	.	.	.	TRLN
533	REPRODUCTION NOTE	R	.	n	Note about reproduction	R	.	533n	Notes	.	.	.	TRLN
534	ORIGINAL VERSION NOTE	R	.	a	Main entry of original	NR	.	534a	Indexed Notes	.	.	.	TRLN
534	ORIGINAL VERSION NOTE	R	.	b	Edition statement of original	NR	.	534b	Indexed Notes	.	.	.	TRLN
534	ORIGINAL VERSION NOTE	R	.	c	Publication, distribution, etc. of original	NR	.	534c	Indexed Notes	.	.	.	TRLN
534	ORIGINAL VERSION NOTE	R	.	e	Physical description, etc. of original	NR	.	534e	Indexed Notes	.	.	.	TRLN
534	ORIGINAL VERSION NOTE	R	.	f	Series statement of original	R	.	534f	Indexed Notes	.	.	.	TRLN
534	ORIGINAL VERSION NOTE	R	.	n	Note about original	R	.	534n	Indexed Notes	.	.	.	TRLN
534	ORIGINAL VERSION NOTE	R	.	p	Introductory phrase	NR	.	534p	Indexed Notes	.	.	.	TRLN
534	ORIGINAL VERSION NOTE	R	.	t	Title statement of original	NR	.	534t	Indexed Notes	.	.	.	TRLN
535	LOCATION OF ORIGINALS/DUPLICATES NOTE	R	.	a	Custodian	NR	.	535a	Notes	.	.	.	TRLN
535	LOCATION OF ORIGINALS/DUPLICATES NOTE	R	.	b	Postal address	R	.	535b	Notes	.	.	.	TRLN
535	LOCATION OF ORIGINALS/DUPLICATES NOTE	R	.	c	Country	R	.	535c	Notes	.	.	.	TRLN
535	LOCATION OF ORIGINALS/DUPLICATES NOTE	R	.	d	Telecommunications address	R	.	535d	Notes	.	.	.	TRLN
535	LOCATION OF ORIGINALS/DUPLICATES NOTE	R	.	d	Telecommunications address	R	.	535d	Notes	.	.	.	TRLN
535	LOCATION OF ORIGINALS/DUPLICATES NOTE	R	.	g	Repository location code	NR	.	535g	Notes	.	.	.	TRLN
536	FUNDING INFORMATION NOTE	R	.	a	Text of note	NR	.	536a	Indexed Notes	.	.	.	TRLN
536	FUNDING INFORMATION NOTE	R	.	b	Contract number	R	.	536b	Indexed Notes	.	.	.	TRLN
536	FUNDING INFORMATION NOTE	R	.	c	Grant number	R	.	536c	Indexed Notes	.	.	.	TRLN
536	FUNDING INFORMATION NOTE	R	.	d	Undifferentiated number	R	.	536d	Indexed Notes	.	.	.	TRLN
536	FUNDING INFORMATION NOTE	R	.	e	Program element number	R	.	536e	Indexed Notes	.	.	.	TRLN
536	FUNDING INFORMATION NOTE	R	.	f	Project number	R	.	536f	Indexed Notes	.	.	.	TRLN
536	FUNDING INFORMATION NOTE	R	.	g	Task number	R	.	536g	Indexed Notes	.	.	.	TRLN
536	FUNDING INFORMATION NOTE	R	.	h	Work unit number	R	.	536h	Indexed Notes	.	.	.	TRLN
538	SYSTEM DETAILS NOTE	R	.	a	System details note	NR	.	538a	System Details	.	.	.	TRLN
538	SYSTEM DETAILS NOTE	R	.	i	Display text	NR	.	538i	System Details	.	.	.	TRLN
538	SYSTEM DETAILS NOTE	R	.	u	Uniform Resource Identifier	R	.	538u	System Details	.	.	.	TRLN
540	TERMS GOVERNING USE AND REPRODUCTION NOTE	R	.	a	Terms governing use and reproduction	NR	.	540a	Notes	.	.	.	TRLN
540	TERMS GOVERNING USE AND REPRODUCTION NOTE	R	.	b	Jurisdiction	NR	.	540b	Notes	.	.	.	TRLN
540	TERMS GOVERNING USE AND REPRODUCTION NOTE	R	.	u	Uniform Resource Identifier	R	.	540u	Notes	.	.	.	TRLN
540	TERMS GOVERNING USE AND REPRODUCTION NOTE	R	.	3	Materials specified	NR	.	5403	Notes	.	.	.	TRLN
541	IMMEDIATE SOURCE OF ACQUISITION NOTE	R	.	a	Source of acquisition	NR	.	541a	Indexed Notes	.	.	.	TRLN
541	IMMEDIATE SOURCE OF ACQUISITION NOTE	R	.	a	Source of acquisition	NR	.	541a	Source of Acquisition	.	.	.	TRLN
541	IMMEDIATE SOURCE OF ACQUISITION NOTE	R	.	b	Address	NR	.	541b	Source of Acquisition	.	.	.	TRLN
541	IMMEDIATE SOURCE OF ACQUISITION NOTE	R	.	c	Method of acquisition	NR	.	541c	Source of Acquisition	.	.	.	TRLN
541	IMMEDIATE SOURCE OF ACQUISITION NOTE	R	.	d	Date of acquisition	NR	.	541d	Source of Acquisition	.	.	.	TRLN
541	IMMEDIATE SOURCE OF ACQUISITION NOTE	R	.	e	Accession number	NR	.	541e	Source of Acquisition	.	.	.	TRLN
541	IMMEDIATE SOURCE OF ACQUISITION NOTE	R	.	f	Owner	NR	.	541f	Source of Acquisition	.	.	.	TRLN
541	IMMEDIATE SOURCE OF ACQUISITION NOTE	R	.	h	Purchase price	NR	.	541h	Source of Acquisition	.	.	.	TRLN
541	IMMEDIATE SOURCE OF ACQUISITION NOTE	R	.	n	Extent	R	.	541n	Source of Acquisition	.	.	.	TRLN
541	IMMEDIATE SOURCE OF ACQUISITION NOTE	R	.	o	Type of unit	R	.	541o	Source of Acquisition	.	.	.	TRLN
544	LOCATION OF OTHER ARCHIVAL MATERIALS NOTE	R	.	a	Custodian	R	.	544a	Related Collections	.	.	.	TRLN
544	LOCATION OF OTHER ARCHIVAL MATERIALS NOTE	R	.	b	Address	R	.	544b	Related Collections	.	.	.	TRLN
544	LOCATION OF OTHER ARCHIVAL MATERIALS NOTE	R	.	c	Country	R	.	544c	Related Collections	.	.	.	TRLN
544	LOCATION OF OTHER ARCHIVAL MATERIALS NOTE	R	.	d	Title	R	.	544d	Related Collections	.	.	.	TRLN
544	LOCATION OF OTHER ARCHIVAL MATERIALS NOTE	R	.	e	Provenance	R	.	544e	Related Collections	.	.	.	TRLN
544	LOCATION OF OTHER ARCHIVAL MATERIALS NOTE	R	.	n	Note	R	.	544n	Related Collections	.	.	.	TRLN
545	BIOGRAPHICAL OR HISTORICAL DATA	R	.	a	Biographical or historical note	NR	.	545a	Biographical Sketch	.	.	.	TRLN
545	BIOGRAPHICAL OR HISTORICAL DATA	R	.	b	Expansion	NR	.	545b	Biographical Sketch	.	.	.	TRLN
545	BIOGRAPHICAL OR HISTORICAL DATA	R	.	u	Uniform Resource Identifier	R	.	545u	Biographical Sketch	.	.	.	TRLN
546	LANGUAGE NOTE	R	.	a	Language note	NR	.	546a	Notes	.	.	.	TRLN
546	LANGUAGE NOTE	R	.	b	Information code or alphabet	R	.	546b	Notes	.	.	.	TRLN
547	FORMER TITLE COMPLEXITY NOTE	R	.	a	Former title complexity note	NR	.	547a	Notes	.	.	.	TRLN
550	ISSUING BODY NOTE	R	.	a	Issuing body note	NR	.	550a	Notes	.	.	.	TRLN
555	CUMULATIVE INDEX/FINDING AIDS NOTE	R	.	a	Cumulative index/finding aids note	NR	.	555a	Cumulative Indexes	.	.	.	TRLN
555	CUMULATIVE INDEX/FINDING AIDS NOTE	R	.	b	Availability source	R	.	555b	Cumulative Indexes	.	.	.	TRLN
555	CUMULATIVE INDEX/FINDING AIDS NOTE	R	.	c	Degree of control	NR	.	555c	Cumulative Indexes	.	.	.	TRLN
555	CUMULATIVE INDEX/FINDING AIDS NOTE	R	.	d	Bibliographic reference	NR	.	555d	Cumulative Indexes	.	.	.	TRLN
555	CUMULATIVE INDEX/FINDING AIDS NOTE	R	.	u	Uniform Resource Identifier	R	.	555u	Cumulative Indexes	.	.	.	TRLN
556	INFORMATION ABOUT DOCUMENTATION NOTE	R	.	a	Information about documentation note	NR	.	556a	Notes	.	.	.	TRLN
561	OWNERSHIP AND CUSTODIAL HISTORY	R	.	a	History	NR	.	561a	Indexed Notes	.	.	.	TRLN
563	BINDING INFORMATION	R	.	a	Binding note	NR	.	563a	Indexed Notes	.	.	.	TRLN
565	CASE FILE CHARACTERISTICS NOTE	R	.	a	Number of cases/variables	NR	.	565a	Notes	.	.	.	TRLN
565	CASE FILE CHARACTERISTICS NOTE	R	.	b	Name of variable	R	.	565b	Notes	.	.	.	TRLN
565	CASE FILE CHARACTERISTICS NOTE	R	.	c	Unit of analysis	R	.	565c	Notes	.	.	.	TRLN
565	CASE FILE CHARACTERISTICS NOTE	R	.	d	Universe of data	R	.	565d	Notes	.	.	.	TRLN
565	CASE FILE CHARACTERISTICS NOTE	R	.	e	Filing scheme or code	R	.	565e	Notes	.	.	.	TRLN
567	METHODOLOGY NOTE	R	.	a	Methodology note	NR	.	567a	Notes	.	.	.	TRLN
580	LINKING ENTRY COMPLEXITY NOTE	R	.	a	Linking entry complexity note	NR	.	580a	Notes	.	.	.	TRLN
581	PUBLICATIONS ABOUT DESCRIBED MATERIALS NOTE	R	.	a	Publications about described materials note	NR	.	581a	Indexed Notes	.	.	.	TRLN
585	EXHIBITIONS NOTE	R	.	a	Exhibitions note	NR	.	585a	Indexed Notes	.	.	.	TRLN
586	AWARDS NOTE	R	.	a	Awards note	NR	.	586a	Indexed Notes	.	.	.	TRLN
588	SOURCE OF DESCRIPTION NOTE	R	.	a	Source of description note	NR	.	588a	Notes	.	.	.	TRLN
590	LOCAL NOTE	.	[OBSOLETE]	a	Local note	NR	.	590a	Indexed Notes	.	.	.	TRLN
590	LOCAL NOTE	.	[OBSOLETE]	a	Local note	NR	.	590a	Notes	.	.	.	TRLN
590	RECEIPT DATE NOTE	.	[OBSOLETE]	a	Receipt date	NR	.	590a	Indexed Notes	.	.	.	TRLN
590	RECEIPT DATE NOTE	.	[OBSOLETE]	a	Receipt date	NR	.	590a	Notes	.	.	.	TRLN
600	SUBJECT ADDED ENTRY--PERSONAL NAME	R	.	a	Personal name	NR	.	600a	Subject	.	[12347]	.	TRLN
600	SUBJECT ADDED ENTRY--PERSONAL NAME	R	.	a	Personal name	NR	.	600a	Subject Headings	.	.	.	TRLN
600	SUBJECT ADDED ENTRY--PERSONAL NAME	R	.	a	Personal name	NR	.	600a	Subjects	.	.	.	TRLN
600	SUBJECT ADDED ENTRY--PERSONAL NAME	R	.	b	Numeration	NR	.	600b	Subject Headings	.	.	.	TRLN
600	SUBJECT ADDED ENTRY--PERSONAL NAME	R	.	b	Numeration	NR	.	600b	Subjects	.	.	.	TRLN
600	SUBJECT ADDED ENTRY--PERSONAL NAME	R	.	c	Titles and other words associated with a name	R	.	600c	Subject Headings	.	.	.	TRLN
600	SUBJECT ADDED ENTRY--PERSONAL NAME	R	.	c	Titles and other words associated with a name	R	.	600c	Subjects	.	.	.	TRLN
600	SUBJECT ADDED ENTRY--PERSONAL NAME	R	.	d	Dates associated with a name	NR	.	600d	Subject Headings	.	.	.	TRLN
600	SUBJECT ADDED ENTRY--PERSONAL NAME	R	.	d	Dates associated with a name	NR	.	600d	Subjects	.	.	.	TRLN
600	SUBJECT ADDED ENTRY--PERSONAL NAME	R	.	e	Relator term	R	.	600e	Subject Headings	.	.	.	TRLN
600	SUBJECT ADDED ENTRY--PERSONAL NAME	R	.	e	Relator term	R	.	600e	Subjects	.	.	.	TRLN
600	SUBJECT ADDED ENTRY--PERSONAL NAME	R	.	f	Date of a work	NR	.	600f	Subject Headings	.	.	.	TRLN
600	SUBJECT ADDED ENTRY--PERSONAL NAME	R	.	f	Date of a work	NR	.	600f	Subjects	.	.	.	TRLN
600	SUBJECT ADDED ENTRY--PERSONAL NAME	R	.	g	Miscellaneous information	R	.	600g	Subject Headings	.	.	.	TRLN
600	SUBJECT ADDED ENTRY--PERSONAL NAME	R	.	g	Miscellaneous information	R	.	600g	Subjects	.	.	.	TRLN
600	SUBJECT ADDED ENTRY--PERSONAL NAME	R	.	h	Medium	NR	.	600h	Subject Headings	.	.	.	TRLN
600	SUBJECT ADDED ENTRY--PERSONAL NAME	R	.	h	Medium	NR	.	600h	Subjects	.	.	.	TRLN
600	SUBJECT ADDED ENTRY--PERSONAL NAME	R	.	j	Attribution qualifier	R	.	600j	Subject Headings	.	.	.	TRLN
600	SUBJECT ADDED ENTRY--PERSONAL NAME	R	.	j	Attribution qualifier	R	.	600j	Subjects	.	.	.	TRLN
600	SUBJECT ADDED ENTRY--PERSONAL NAME	R	.	k	Form subheading	R	.	600k	Subject Headings	.	.	.	TRLN
600	SUBJECT ADDED ENTRY--PERSONAL NAME	R	.	k	Form subheading	R	.	600k	Subjects	.	.	.	TRLN
600	SUBJECT ADDED ENTRY--PERSONAL NAME	R	.	l	Language of a work	NR	.	600l	Subject Headings	.	.	.	TRLN
600	SUBJECT ADDED ENTRY--PERSONAL NAME	R	.	l	Language of a work	NR	.	600l	Subjects	.	.	.	TRLN
600	SUBJECT ADDED ENTRY--PERSONAL NAME	R	.	m	Medium of performance for music	R	.	600m	Subject Headings	.	.	.	TRLN
600	SUBJECT ADDED ENTRY--PERSONAL NAME	R	.	m	Medium of performance for music	R	.	600m	Subjects	.	.	.	TRLN
600	SUBJECT ADDED ENTRY--PERSONAL NAME	R	.	n	Number of part/section of a work	R	.	600n	Subject Headings	.	.	.	TRLN
600	SUBJECT ADDED ENTRY--PERSONAL NAME	R	.	n	Number of part/section of a work	R	.	600n	Subjects	.	.	.	TRLN
600	SUBJECT ADDED ENTRY--PERSONAL NAME	R	.	o	Arranged statement for music	NR	.	600o	Subject Headings	.	.	.	TRLN
600	SUBJECT ADDED ENTRY--PERSONAL NAME	R	.	o	Arranged statement for music	NR	.	600o	Subjects	.	.	.	TRLN
600	SUBJECT ADDED ENTRY--PERSONAL NAME	R	.	p	Name of part/section of a work	R	.	600p	Subject Headings	.	.	.	TRLN
600	SUBJECT ADDED ENTRY--PERSONAL NAME	R	.	p	Name of part/section of a work	R	.	600p	Subjects	.	.	.	TRLN
600	SUBJECT ADDED ENTRY--PERSONAL NAME	R	.	q	Fuller form of name	NR	.	600q	Subject Headings	.	.	.	TRLN
600	SUBJECT ADDED ENTRY--PERSONAL NAME	R	.	q	Fuller form of name	NR	.	600q	Subjects	.	.	.	TRLN
600	SUBJECT ADDED ENTRY--PERSONAL NAME	R	.	r	Key for music	NR	.	600r	Subject Headings	.	.	.	TRLN
600	SUBJECT ADDED ENTRY--PERSONAL NAME	R	.	r	Key for music	NR	.	600r	Subjects	.	.	.	TRLN
600	SUBJECT ADDED ENTRY--PERSONAL NAME	R	.	s	Version	NR	.	600s	Subject Headings	.	.	.	TRLN
600	SUBJECT ADDED ENTRY--PERSONAL NAME	R	.	s	Version	NR	.	600s	Subjects	.	.	.	TRLN
600	SUBJECT ADDED ENTRY--PERSONAL NAME	R	.	t	Title of a work	NR	.	600t	Subject Headings	.	.	.	TRLN
600	SUBJECT ADDED ENTRY--PERSONAL NAME	R	.	t	Title of a work	NR	.	600t	Subjects	.	.	.	TRLN
