MARC tag	Field name	Field repeatability	Field note	Subfield delimiter	Subfield name	Subfield repeatability	Subfield note
085	SYNTHESIZED CLASSIFICATION NUMBER COMPONENTS	R	.	u	Number being analyzed	R	.
085	SYNTHESIZED CLASSIFICATION NUMBER COMPONENTS	R	.	v	Number in internal subarrangement or add table where instructions are found	R	.
085	SYNTHESIZED CLASSIFICATION NUMBER COMPONENTS	R	.	w	Table identification-Internal subarrangement or add table	R	.
085	SYNTHESIZED CLASSIFICATION NUMBER COMPONENTS	R	.	y	Table sequence number for internal subarrangement or add table	R	.
085	SYNTHESIZED CLASSIFICATION NUMBER COMPONENTS	R	.	z	Table identification	R	.
085	SYNTHESIZED CLASSIFICATION NUMBER COMPONENTS	R	.	0	Authority record control number or standard number	R	.
085	SYNTHESIZED CLASSIFICATION NUMBER COMPONENTS	R	.	1	Real World Object URI	R	.
085	SYNTHESIZED CLASSIFICATION NUMBER COMPONENTS	R	.	6	Linkage	NR	.
085	SYNTHESIZED CLASSIFICATION NUMBER COMPONENTS	R	.	8	Field link and sequence number	R	.
086	GOVERNMENT DOCUMENT CLASSIFICATION NUMBER	R	.	a	Classification number	NR	.
086	GOVERNMENT DOCUMENT CLASSIFICATION NUMBER	R	.	z	Canceled/invalid classification number	R	.
086	GOVERNMENT DOCUMENT CLASSIFICATION NUMBER	R	.	0	Authority record control number or standard number	R	.
086	GOVERNMENT DOCUMENT CLASSIFICATION NUMBER	R	.	1	Real World Object URI	R	.
086	GOVERNMENT DOCUMENT CLASSIFICATION NUMBER	R	.	2	Number source	NR	.
086	GOVERNMENT DOCUMENT CLASSIFICATION NUMBER	R	.	6	Linkage	NR	.
086	GOVERNMENT DOCUMENT CLASSIFICATION NUMBER	R	.	8	Field link and sequence number	R	.
088	REPORT NUMBER	R	.	a	Report number	NR	.
088	REPORT NUMBER	R	.	z	Canceled/invalid report number	R	.
088	REPORT NUMBER	R	.	6	Linkage	NR	.
088	REPORT NUMBER	R	.	8	Field link and sequence number	R	.
090	LOCAL CALL NUMBER	.	[OBSOLETE]	a	Local class number	NR	.
090	LOCAL CALL NUMBER	.	[OBSOLETE]	b	Local Cutter number	NR	.
090	SHELF LOCATION	.	[OBSOLETE]	a	Shelf location	NR	.
091	MICROFILM SHELF LOCATION	.	[OBSOLETE]	a	Microfilm shelf location	NR	.
100	MAIN ENTRY--PERSONAL NAME	NR	.	a	Personal name	NR	.
100	MAIN ENTRY--PERSONAL NAME	NR	.	b	Numeration	NR	.
100	MAIN ENTRY--PERSONAL NAME	NR	.	c	Titles and other words associated with a name	R	.
100	MAIN ENTRY--PERSONAL NAME	NR	.	d	Dates associated with a name	NR	.
100	MAIN ENTRY--PERSONAL NAME	NR	.	e	Relator term	R	.
100	MAIN ENTRY--PERSONAL NAME	NR	.	f	Date of a work	NR	.
100	MAIN ENTRY--PERSONAL NAME	NR	.	g	Miscellaneous information	R	.
100	MAIN ENTRY--PERSONAL NAME	NR	.	j	Attribution qualifier	R	.
100	MAIN ENTRY--PERSONAL NAME	NR	.	k	Form subheading	R	.
100	MAIN ENTRY--PERSONAL NAME	NR	.	l	Language of a work	NR	.
100	MAIN ENTRY--PERSONAL NAME	NR	.	n	Number of part/section of a work	R	.
100	MAIN ENTRY--PERSONAL NAME	NR	.	p	Name of part/section of a work	R	.
100	MAIN ENTRY--PERSONAL NAME	NR	.	q	Fuller form of name	NR	.
100	MAIN ENTRY--PERSONAL NAME	NR	.	t	Title of a work	NR	.
100	MAIN ENTRY--PERSONAL NAME	NR	.	u	Affiliation	NR	.
100	MAIN ENTRY--PERSONAL NAME	NR	.	0	Authority record control number or standard number	R	.
100	MAIN ENTRY--PERSONAL NAME	NR	.	1	Real World Object URI	R	.
100	MAIN ENTRY--PERSONAL NAME	NR	.	4	Relationship	R	.
100	MAIN ENTRY--PERSONAL NAME	NR	.	6	Linkage	NR	.
100	MAIN ENTRY--PERSONAL NAME	NR	.	8	Field link and sequence number	R	.
110	MAIN ENTRY--CORPORATE NAME	NR	.	a	Corporate name or jurisdiction name as entry element	NR	.
110	MAIN ENTRY--CORPORATE NAME	NR	.	b	Subordinate unit	R	.
110	MAIN ENTRY--CORPORATE NAME	NR	.	c	Location of meeting	R	.
110	MAIN ENTRY--CORPORATE NAME	NR	.	d	Date of meeting or treaty signing	R	.
110	MAIN ENTRY--CORPORATE NAME	NR	.	e	Relator term	R	.
110	MAIN ENTRY--CORPORATE NAME	NR	.	f	Date of a work	NR	.
110	MAIN ENTRY--CORPORATE NAME	NR	.	g	Miscellaneous information	R	.
110	MAIN ENTRY--CORPORATE NAME	NR	.	k	Form subheading	R	.
110	MAIN ENTRY--CORPORATE NAME	NR	.	l	Language of a work	NR	.
110	MAIN ENTRY--CORPORATE NAME	NR	.	n	Number of part/section/meeting	R	.
110	MAIN ENTRY--CORPORATE NAME	NR	.	p	Name of part/section of a work	R	.
110	MAIN ENTRY--CORPORATE NAME	NR	.	t	Title of a work	NR	.
110	MAIN ENTRY--CORPORATE NAME	NR	.	u	Affiliation	NR	.
110	MAIN ENTRY--CORPORATE NAME	NR	.	0	Authority record control number or standard number	R	.
110	MAIN ENTRY--CORPORATE NAME	NR	.	1	Real World Object URI	R	.
110	MAIN ENTRY--CORPORATE NAME	NR	.	4	Relationship	R	.
110	MAIN ENTRY--CORPORATE NAME	NR	.	6	Linkage	NR	.
110	MAIN ENTRY--CORPORATE NAME	NR	.	8	Field link and sequence number	R	.
111	MAIN ENTRY--MEETING NAME	NR	.	a	Meeting name or jurisdiction name as entry element	NR	.
111	MAIN ENTRY--MEETING NAME	NR	.	b	Number	.	[OBSOLETE]
111	MAIN ENTRY--MEETING NAME	NR	.	c	Location of meeting	R	.
111	MAIN ENTRY--MEETING NAME	NR	.	d	Date of meeting or treaty signing	R	.
111	MAIN ENTRY--MEETING NAME	NR	.	e	Subordinate unit	R	.
111	MAIN ENTRY--MEETING NAME	NR	.	f	Date of a work	NR	.
111	MAIN ENTRY--MEETING NAME	NR	.	g	Miscellaneous information	R	.
111	MAIN ENTRY--MEETING NAME	NR	.	j	Relator term	R	.
111	MAIN ENTRY--MEETING NAME	NR	.	k	Form subheading	R	.
111	MAIN ENTRY--MEETING NAME	NR	.	l	Language of a work	NR	.
111	MAIN ENTRY--MEETING NAME	NR	.	n	Number of part/section/meeting	R	.
111	MAIN ENTRY--MEETING NAME	NR	.	p	Name of part/section of a work	R	.
111	MAIN ENTRY--MEETING NAME	NR	.	q	Name of meeting following jurisdiction name entry element	NR	.
111	MAIN ENTRY--MEETING NAME	NR	.	t	Title of a work	NR	.
111	MAIN ENTRY--MEETING NAME	NR	.	u	Affiliation	NR	.
111	MAIN ENTRY--MEETING NAME	NR	.	0	Authority record control number or standard number	R	.
111	MAIN ENTRY--MEETING NAME	NR	.	1	Real World Object URI	R	.
111	MAIN ENTRY--MEETING NAME	NR	.	4	Relationship	R	.
111	MAIN ENTRY--MEETING NAME	NR	.	6	Linkage	NR	.
111	MAIN ENTRY--MEETING NAME	NR	.	8	Field link and sequence number	R	.
130	MAIN ENTRY--UNIFORM TITLE	NR	.	a	Uniform title	NR	.
130	MAIN ENTRY--UNIFORM TITLE	NR	.	d	Date of treaty signing	R	.
130	MAIN ENTRY--UNIFORM TITLE	NR	.	f	Date of a work	NR	.
130	MAIN ENTRY--UNIFORM TITLE	NR	.	g	Miscellaneous information	R	.
130	MAIN ENTRY--UNIFORM TITLE	NR	.	h	Medium	NR	.
130	MAIN ENTRY--UNIFORM TITLE	NR	.	k	Form subheading	R	.
130	MAIN ENTRY--UNIFORM TITLE	NR	.	l	Language of a work	NR	.
130	MAIN ENTRY--UNIFORM TITLE	NR	.	m	Medium of performance for music	R	.
130	MAIN ENTRY--UNIFORM TITLE	NR	.	n	Number of part/section of a work	R	.
130	MAIN ENTRY--UNIFORM TITLE	NR	.	o	Arranged statement for music	NR	.
130	MAIN ENTRY--UNIFORM TITLE	NR	.	p	Name of part/section of a work	R	.
130	MAIN ENTRY--UNIFORM TITLE	NR	.	r	Key for music	NR	.
130	MAIN ENTRY--UNIFORM TITLE	NR	.	s	Version	R	.
130	MAIN ENTRY--UNIFORM TITLE	NR	.	t	Title of a work	NR	.
130	MAIN ENTRY--UNIFORM TITLE	NR	.	0	Authority record control number or standard number	R	.
130	MAIN ENTRY--UNIFORM TITLE	NR	.	1	Real World Object URI	R	.
130	MAIN ENTRY--UNIFORM TITLE	NR	.	6	Linkage	NR	.
130	MAIN ENTRY--UNIFORM TITLE	NR	.	8	Field link and sequence number	R	.
210	ABBREVIATED TITLE	R	.	a	Abbreviated title	NR	.
210	ABBREVIATED TITLE	R	.	b	Qualifying information	NR	.
210	ABBREVIATED TITLE	R	.	2	Source	R	.
210	ABBREVIATED TITLE	R	.	6	Linkage	NR	.
210	ABBREVIATED TITLE	R	.	8	Field link and sequence number	R	.
211	ACRONYM OR SHORTENED TITLE	R	[OBSOLETE]	a	Acronym or shortened title	NR	.
211	ACRONYM OR SHORTENED TITLE	R	[OBSOLETE]	6	Linkage	NR	.
212	VARIANT ACCESS TITLE	R	[OBSOLETE]	a	Variant access title	NR	.
212	VARIANT ACCESS TITLE	R	[OBSOLETE]	6	Linkage	NR	.
214	AUGMENTED TITLE	R	[OBSOLETE]	a	Augmented title	NR	.
214	AUGMENTED TITLE	R	[OBSOLETE]	6	Linkage	NR	.
222	KEY TITLE	R	.	a	Key title	NR	.
222	KEY TITLE	R	.	b	Qualifying information	NR	.
222	KEY TITLE	R	.	6	Linkage	NR	.
222	KEY TITLE	R	.	8	Field link and sequence number	R	.
240	UNIFORM TITLE	NR	.	a	Uniform title	NR	.
240	UNIFORM TITLE	NR	.	d	Date of treaty signing	R	.
240	UNIFORM TITLE	NR	.	f	Date of a work	NR	.
240	UNIFORM TITLE	NR	.	g	Miscellaneous information	R	.
240	UNIFORM TITLE	NR	.	h	Medium	NR	.
240	UNIFORM TITLE	NR	.	k	Form subheading	R	.
240	UNIFORM TITLE	NR	.	l	Language of a work	NR	.
240	UNIFORM TITLE	NR	.	m	Medium of performance for music	R	.
240	UNIFORM TITLE	NR	.	n	Number of part/section of a work	R	.
240	UNIFORM TITLE	NR	.	o	Arranged statement for music	NR	.
240	UNIFORM TITLE	NR	.	p	Name of part/section of a work	R	.
240	UNIFORM TITLE	NR	.	r	Key for music	NR	.
240	UNIFORM TITLE	NR	.	s	Version	R	.
240	UNIFORM TITLE	NR	.	0	Authority record control number or standard number	R	.
240	UNIFORM TITLE	NR	.	1	Real World Object URI	R	.
240	UNIFORM TITLE	NR	.	6	Linkage	NR	.
240	UNIFORM TITLE	NR	.	8	Field link and sequence number	R	.
241	ROMANIZED TITLE	NR	[OBSOLETE]	a	Romanized title	NR	.
241	ROMANIZED TITLE	NR	[OBSOLETE]	h	Medium	NR	.
242	TRANSLATION OF TITLE BY CATALOGING AGENCY	R	.	a	Title	NR	.
242	TRANSLATION OF TITLE BY CATALOGING AGENCY	R	.	b	Remainder of title	NR	.
242	TRANSLATION OF TITLE BY CATALOGING AGENCY	R	.	c	Statement of responsibility, etc.	NR	.
242	TRANSLATION OF TITLE BY CATALOGING AGENCY	R	.	d	Designation of section	.	[OBSOLETE]
242	TRANSLATION OF TITLE BY CATALOGING AGENCY	R	.	e	Name of part/section	.	[OBSOLETE]
242	TRANSLATION OF TITLE BY CATALOGING AGENCY	R	.	h	Medium	NR	.
242	TRANSLATION OF TITLE BY CATALOGING AGENCY	R	.	n	Number of part/section of a work	R	.
242	TRANSLATION OF TITLE BY CATALOGING AGENCY	R	.	p	Name of part/section of a work	R	.
242	TRANSLATION OF TITLE BY CATALOGING AGENCY	R	.	y	Language code of translated title	NR	.
242	TRANSLATION OF TITLE BY CATALOGING AGENCY	R	.	6	Linkage	NR	.
242	TRANSLATION OF TITLE BY CATALOGING AGENCY	R	.	8	Field link and sequence number	R	.
243	COLLECTIVE UNIFORM TITLE	NR	.	a	Uniform title	NR	.
243	COLLECTIVE UNIFORM TITLE	NR	.	d	Date of treaty signing	R	.
243	COLLECTIVE UNIFORM TITLE	NR	.	f	Date of a work	NR	.
243	COLLECTIVE UNIFORM TITLE	NR	.	g	Miscellaneous information	R	.
243	COLLECTIVE UNIFORM TITLE	NR	.	h	Medium	NR	.
243	COLLECTIVE UNIFORM TITLE	NR	.	k	Form subheading	R	.
243	COLLECTIVE UNIFORM TITLE	NR	.	l	Language of a work	NR	.
243	COLLECTIVE UNIFORM TITLE	NR	.	m	Medium of performance for music	R	.
243	COLLECTIVE UNIFORM TITLE	NR	.	n	Number of part/section of a work	R	.
243	COLLECTIVE UNIFORM TITLE	NR	.	o	Arranged statement for music	NR	.
243	COLLECTIVE UNIFORM TITLE	NR	.	p	Name of part/section of a work	R	.
243	COLLECTIVE UNIFORM TITLE	NR	.	r	Key for music	NR	.
243	COLLECTIVE UNIFORM TITLE	NR	.	s	Version	R	.
243	COLLECTIVE UNIFORM TITLE	NR	.	6	Linkage	NR	.
243	COLLECTIVE UNIFORM TITLE	NR	.	8	Field link and sequence number	R	.
245	TITLE STATEMENT	NR	.	a	Title	NR	.
245	TITLE STATEMENT	NR	.	b	Remainder of title	NR	.
245	TITLE STATEMENT	NR	.	c	Statement of responsibility, etc.	NR	.
245	TITLE STATEMENT	NR	.	d	Designation of section	.	[OBSOLETE]
245	TITLE STATEMENT	NR	.	e	Name of part/section	.	[OBSOLETE]
245	TITLE STATEMENT	NR	.	f	Inclusive dates	NR	.
245	TITLE STATEMENT	NR	.	g	Bulk dates	NR	.
245	TITLE STATEMENT	NR	.	h	Medium	NR	.
245	TITLE STATEMENT	NR	.	k	Form	R	.
245	TITLE STATEMENT	NR	.	n	Number of part/section of a work	R	.
245	TITLE STATEMENT	NR	.	p	Name of part/section of a work	R	.
245	TITLE STATEMENT	NR	.	s	Version	NR	.
245	TITLE STATEMENT	NR	.	6	Linkage	NR	.
245	TITLE STATEMENT	NR	.	8	Field link and sequence number	R	.
246	VARYING FORM OF TITLE	R	.	a	Title proper/short title	NR	.
246	VARYING FORM OF TITLE	R	.	b	Remainder of title	NR	.
246	VARYING FORM OF TITLE	R	.	d	Designation of section	.	[OBSOLETE]
246	VARYING FORM OF TITLE	R	.	e	Name of part/section	.	[OBSOLETE]
246	VARYING FORM OF TITLE	R	.	f	Date or sequential designation	NR	.
246	VARYING FORM OF TITLE	R	.	g	Miscellaneous information	R	.
246	VARYING FORM OF TITLE	R	.	h	Medium	NR	.
246	VARYING FORM OF TITLE	R	.	i	Display text	NR	.
246	VARYING FORM OF TITLE	R	.	n	Number of part/section of a work	R	.
246	VARYING FORM OF TITLE	R	.	p	Name of part/section of a work	R	.
246	VARYING FORM OF TITLE	R	.	5	Institution to which field applies	NR	.
246	VARYING FORM OF TITLE	R	.	6	Linkage	NR	.
246	VARYING FORM OF TITLE	R	.	8	Field link and sequence number	R	.
247	FORMER TITLE	R	.	a	Title	NR	.
247	FORMER TITLE	R	.	b	Remainder of title	NR	.
247	FORMER TITLE	R	.	d	Designation of section	.	[OBSOLETE]
247	FORMER TITLE	R	.	e	Name of part/section	.	[OBSOLETE]
247	FORMER TITLE	R	.	f	Date or sequential designation	NR	.
247	FORMER TITLE	R	.	g	Miscellaneous information	R	.
247	FORMER TITLE	R	.	h	Medium	NR	.
247	FORMER TITLE	R	.	n	Number of part/section of a work	R	.
247	FORMER TITLE	R	.	p	Name of part/section of a work	R	.
247	FORMER TITLE	R	.	x	International Standard Serial Number	NR	.
247	FORMER TITLE	R	.	6	Linkage	NR	.
247	FORMER TITLE	R	.	8	Field link and sequence number	R	.
250	EDITION STATEMENT	R	.	a	Edition statement	NR	.
250	EDITION STATEMENT	R	.	b	Remainder of edition statement	NR	.
250	EDITION STATEMENT	R	.	3	Materials specified	NR	.
250	EDITION STATEMENT	R	.	6	Linkage	NR	.
250	EDITION STATEMENT	R	.	8	Field link and sequence number	R	.
254	MUSICAL PRESENTATION STATEMENT	NR	.	a	Musical presentation statement	NR	.
254	MUSICAL PRESENTATION STATEMENT	NR	.	6	Linkage	NR	.
254	MUSICAL PRESENTATION STATEMENT	NR	.	8	Field link and sequence number	R	.
255	CARTOGRAPHIC MATHEMATICAL DATA	R	.	a	Statement of scale	NR	.
255	CARTOGRAPHIC MATHEMATICAL DATA	R	.	b	Statement of projection	NR	.
255	CARTOGRAPHIC MATHEMATICAL DATA	R	.	c	Statement of coordinates	NR	.
255	CARTOGRAPHIC MATHEMATICAL DATA	R	.	d	Statement of zone	NR	.
255	CARTOGRAPHIC MATHEMATICAL DATA	R	.	e	Statement of equinox	NR	.
255	CARTOGRAPHIC MATHEMATICAL DATA	R	.	f	Outer G-ring coordinate pairs	NR	.
255	CARTOGRAPHIC MATHEMATICAL DATA	R	.	g	Exclusion G-ring coordinate pairs	NR	.
255	CARTOGRAPHIC MATHEMATICAL DATA	R	.	6	Linkage	NR	.
255	CARTOGRAPHIC MATHEMATICAL DATA	R	.	8	Field link and sequence number	R	.
256	COMPUTER FILE CHARACTERISTICS	NR	.	a	Computer file characteristics	NR	.
256	COMPUTER FILE CHARACTERISTICS	NR	.	6	Linkage	NR	.
256	COMPUTER FILE CHARACTERISTICS	NR	.	8	Field link and sequence number	R	.
257	COUNTRY OF PRODUCING ENTITY	R	.	a	Country of producing entity	R	.
257	COUNTRY OF PRODUCING ENTITY	R	.	0	Authority record control number or standard number	R	.
257	COUNTRY OF PRODUCING ENTITY	R	.	1	Real World Object URI	R	.
257	COUNTRY OF PRODUCING ENTITY	R	.	2	Source	NR	.
257	COUNTRY OF PRODUCING ENTITY	R	.	6	Linkage	NR	.
257	COUNTRY OF PRODUCING ENTITY	R	.	8	Field link and sequence number	R	.
258	PHILATELIC ISSUE DATE	R	.	a	Issuing jurisdiction	NR	.
258	PHILATELIC ISSUE DATE	R	.	b	Denomination	NR	.
258	PHILATELIC ISSUE DATE	R	.	6	Linkage	NR	.
258	PHILATELIC ISSUE DATE	R	.	8	Field link and sequence number	R	.
260	PUBLICATION, DISTRIBUTION, ETC.	R	.	a	Place of publication, distribution, etc.	R	.
260	PUBLICATION, DISTRIBUTION, ETC.	R	.	b	Name of publisher, distributor, etc.	R	.
260	PUBLICATION, DISTRIBUTION, ETC.	R	.	c	Date of publication, distribution, etc.	R	.
260	PUBLICATION, DISTRIBUTION, ETC.	R	.	d	Plate or publisher's number for music (Pre-AACR 2)	NR	[LOCAL]
260	PUBLICATION, DISTRIBUTION, ETC.	R	.	e	Place of manufacture	R	.
260	PUBLICATION, DISTRIBUTION, ETC.	R	.	f	Manufacturer	R	.
260	PUBLICATION, DISTRIBUTION, ETC.	R	.	g	Date of manufacture	R	.
260	PUBLICATION, DISTRIBUTION, ETC.	R	.	3	Materials specified	NR	.
260	PUBLICATION, DISTRIBUTION, ETC.	R	.	6	Linkage	NR	.
260	PUBLICATION, DISTRIBUTION, ETC.	R	.	8	Field link and sequence number	R	.
261	IMPRINT STATEMENT FOR FILMS	NR	[LOCAL]	a	Producing company	R	.
261	IMPRINT STATEMENT FOR FILMS	NR	[LOCAL]	b	Releasing company (primary distributor)	R	.
261	IMPRINT STATEMENT FOR FILMS	NR	[LOCAL]	d	Date of production, release, etc.	R	.
261	IMPRINT STATEMENT FOR FILMS	NR	[LOCAL]	e	Contractual producer	R	.
261	IMPRINT STATEMENT FOR FILMS	NR	[LOCAL]	f	Place of production, release, etc.	R	.
261	IMPRINT STATEMENT FOR FILMS	NR	[LOCAL]	6	Linkage	NR	.
261	IMPRINT STATEMENT FOR FILMS	NR	[LOCAL]	8	Field link and sequence number	R	.
262	IMPRINT STATEMENT FOR SOUND RECORDINGS	NR	[LOCAL]	a	Place of production, release, etc.	NR	.
262	IMPRINT STATEMENT FOR SOUND RECORDINGS	NR	[LOCAL]	b	Publisher or trade name	NR	.
262	IMPRINT STATEMENT FOR SOUND RECORDINGS	NR	[LOCAL]	c	Date of production, release, etc.	NR	.
262	IMPRINT STATEMENT FOR SOUND RECORDINGS	NR	[LOCAL]	k	Serial identification	NR	.
262	IMPRINT STATEMENT FOR SOUND RECORDINGS	NR	[LOCAL]	l	Matrix and/or take number	NR	.
262	IMPRINT STATEMENT FOR SOUND RECORDINGS	NR	[LOCAL]	6	Linkage	NR	.
262	IMPRINT STATEMENT FOR SOUND RECORDINGS	NR	[LOCAL]	8	Field link and sequence number	R	.
263	PROJECTED PUBLICATION DATE	NR	.	a	Projected publication date	NR	.
263	PROJECTED PUBLICATION DATE	NR	.	6	Linkage	NR	.
263	PROJECTED PUBLICATION DATE	NR	.	8	Field link and sequence number	R	.
264	PRODUCTION, PUBLICATION, DISTRIBUTION, MANUFACTURE, AND COPYRIGHT NOTICE	R	.	a	Place of production, publication, distribution, manufacture	R	.
264	PRODUCTION, PUBLICATION, DISTRIBUTION, MANUFACTURE, AND COPYRIGHT NOTICE	R	.	b	Name of producer, publisher, distributor, manufacturer	R	.
264	PRODUCTION, PUBLICATION, DISTRIBUTION, MANUFACTURE, AND COPYRIGHT NOTICE	R	.	c	Date of production, publication, distribution, manufacture, or copyright notice	R	.
264	PRODUCTION, PUBLICATION, DISTRIBUTION, MANUFACTURE, AND COPYRIGHT NOTICE	R	.	3	Materials specified	NR	.
264	PRODUCTION, PUBLICATION, DISTRIBUTION, MANUFACTURE, AND COPYRIGHT NOTICE	R	.	6	Linkage	NR	.
264	PRODUCTION, PUBLICATION, DISTRIBUTION, MANUFACTURE, AND COPYRIGHT NOTICE	R	.	8	Field link and sequence number	R	.
265	SOURCE FOR ACQUISITION/SUBSCRIPTION ADDRESS	NR	[OBSOLETE]	a	Source for acquisition/subscription address	R	.
265	SOURCE FOR ACQUISITION/SUBSCRIPTION ADDRESS	NR	[OBSOLETE]	6	Linkage	NR	.
270	ADDRESS	R	.	a	Address	R	.
270	ADDRESS	R	.	b	City	NR	.
270	ADDRESS	R	.	c	State or province	NR	.
270	ADDRESS	R	.	d	Country	NR	.
270	ADDRESS	R	.	e	Postal code	NR	.
270	ADDRESS	R	.	f	Terms preceding attention name	NR	.
270	ADDRESS	R	.	g	Attention name	NR	.
270	ADDRESS	R	.	h	Attention position	NR	.
270	ADDRESS	R	.	i	Type of address	NR	.
270	ADDRESS	R	.	j	Specialized telephone number	R	.
270	ADDRESS	R	.	k	Telephone number	R	.
270	ADDRESS	R	.	l	Fax number	R	.
270	ADDRESS	R	.	m	Electronic mail address	R	.
270	ADDRESS	R	.	n	TDD or TTY number	R	.
270	ADDRESS	R	.	p	Contact person	R	.
270	ADDRESS	R	.	q	Title of contact person	R	.
270	ADDRESS	R	.	r	Hours	R	.
270	ADDRESS	R	.	z	Public note	R	.
270	ADDRESS	R	.	4	Relationship	R	.
270	ADDRESS	R	.	6	Linkage	NR	.
270	ADDRESS	R	.	8	Field link and sequence number	R	.
300	PHYSICAL DESCRIPTION	R	.	a	Extent	R	.
300	PHYSICAL DESCRIPTION	R	.	b	Other physical details	NR	.
300	PHYSICAL DESCRIPTION	R	.	c	Dimensions	R	.
300	PHYSICAL DESCRIPTION	R	.	e	Accompanying material	NR	.
300	PHYSICAL DESCRIPTION	R	.	f	Type of unit	R	.
300	PHYSICAL DESCRIPTION	R	.	g	Size of unit	R	.
300	PHYSICAL DESCRIPTION	R	.	3	Materials specified	NR	.
300	PHYSICAL DESCRIPTION	R	.	6	Linkage	NR	.
300	PHYSICAL DESCRIPTION	R	.	8	Field link and sequence number	R	.
301	PHYSICAL DESCRIPTION FOR FILMS	.	[OBSOLETE]	a	Extent of item	NR	.
301	PHYSICAL DESCRIPTION FOR FILMS	.	[OBSOLETE]	b	Sound characteristics	NR	.
301	PHYSICAL DESCRIPTION FOR FILMS	.	[OBSOLETE]	c	Color characteristics	NR	.
301	PHYSICAL DESCRIPTION FOR FILMS	.	[OBSOLETE]	d	Dimensions	NR	.
301	PHYSICAL DESCRIPTION FOR FILMS	.	[OBSOLETE]	e	Accompanying material	NR	.
301	PHYSICAL DESCRIPTION FOR FILMS	.	[OBSOLETE]	f	Speed	NR	.
302	PAGE OR ITEM COUNT	.	[OBSOLETE]	a	Page count	NR	.
303	UNIT COUNT	.	[OBSOLETE]	a	Unit count	NR	.
304	LINEAR FOOTAGE	.	[OBSOLETE]	a	Linear footage	NR	.
305	PHYSICAL DESCRIPTION FOR SOUND RECORDINGS	.	[OBSOLETE]	a	Extent	NR	.
305	PHYSICAL DESCRIPTION FOR SOUND RECORDINGS	.	[OBSOLETE]	b	Other physical details	NR	.
305	PHYSICAL DESCRIPTION FOR SOUND RECORDINGS	.	[OBSOLETE]	c	Dimensions	NR	.
305	PHYSICAL DESCRIPTION FOR SOUND RECORDINGS	.	[OBSOLETE]	d	Microgroove or standard	NR	.
305	PHYSICAL DESCRIPTION FOR SOUND RECORDINGS	.	[OBSOLETE]	e	Stereophonic, monaural	NR	.
305	PHYSICAL DESCRIPTION FOR SOUND RECORDINGS	.	[OBSOLETE]	f	Number of tracks	NR	.
305	PHYSICAL DESCRIPTION FOR SOUND RECORDINGS	.	[OBSOLETE]	m	Serial identification	NR	.
305	PHYSICAL DESCRIPTION FOR SOUND RECORDINGS	.	[OBSOLETE]	n	Matrix and/or take number	NR	.
305	PHYSICAL DESCRIPTION FOR SOUND RECORDINGS	.	[OBSOLETE]	6	Linkage	NR	.
306	PLAYING TIME	NR	.	a	Playing time	R	.
306	PLAYING TIME	NR	.	6	Linkage	NR	.
306	PLAYING TIME	NR	.	8	Field link and sequence number	R	.
307	HOURS, ETC.	R	.	a	Hours	NR	.
307	HOURS, ETC.	R	.	b	Additional information	NR	.
307	HOURS, ETC.	R	.	6	Linkage	NR	.
307	HOURS, ETC.	R	.	8	Field link and sequence number	R	.
308	PHYSICAL DESCRIPTION FOR FILMS	.	[OBSOLETE]	a	Number of reels	NR	.
308	PHYSICAL DESCRIPTION FOR FILMS	.	[OBSOLETE]	b	Footage	NR	.
308	PHYSICAL DESCRIPTION FOR FILMS	.	[OBSOLETE]	c	Sound characteristics	NR	.
308	PHYSICAL DESCRIPTION FOR FILMS	.	[OBSOLETE]	d	Color characteristics	NR	.
308	PHYSICAL DESCRIPTION FOR FILMS	.	[OBSOLETE]	e	Width	NR	.
308	PHYSICAL DESCRIPTION FOR FILMS	.	[OBSOLETE]	f	Presentation format	NR	.
308	PHYSICAL DESCRIPTION FOR FILMS	.	[OBSOLETE]	6	Linkage	NR	.
310	CURRENT PUBLICATION FREQUENCY	NR	.	a	Current publication frequency	NR	.
310	CURRENT PUBLICATION FREQUENCY	NR	.	b	Date of current publication frequency	NR	.
310	CURRENT PUBLICATION FREQUENCY	NR	.	6	Linkage	NR	.
310	CURRENT PUBLICATION FREQUENCY	NR	.	8	Field link and sequence number	R	.
315	FREQUENCY	NR	[OBSOLETE]	a	Frequency	R	.
315	FREQUENCY	NR	[OBSOLETE]	b	Dates of frequency	R	.
315	FREQUENCY	NR	[OBSOLETE]	6	Linkage	NR	.
321	FORMER PUBLICATION FREQUENCY	R	.	a	Former publication frequency	NR	.
321	FORMER PUBLICATION FREQUENCY	R	.	b	Dates of former publication frequency	NR	.
321	FORMER PUBLICATION FREQUENCY	R	.	6	Linkage	NR	.
321	FORMER PUBLICATION FREQUENCY	R	.	8	Field link and sequence number	R	.
336	CONTENT TYPE	R	.	a	Content type term	R	.
336	CONTENT TYPE	R	.	b	Content type code	R	.
336	CONTENT TYPE	R	.	0	Authority record control number or standard number	R	.
336	CONTENT TYPE	R	.	1	Real World Object URI	R	.
336	CONTENT TYPE	R	.	2	Source	NR	.
336	CONTENT TYPE	R	.	3	Materials specified	NR	.
336	CONTENT TYPE	R	.	6	Linkage	NR	.
336	CONTENT TYPE	R	.	8	Field link and sequence number	R	.
337	MEDIA TYPE	R	.	a	Media type term	R	.
337	MEDIA TYPE	R	.	b	Media type code	R	.
