argot_field,has parent,is parent?,vernacular treatment,vernacular status,type,argot-marc processor/pattern,category,provisional,responsibility,obligation,searchable in,retain order,facet,Brief display,Full display,note on display,definition,rationale,relevance importance (1=most imp),endeca equivalent,notes,implementation details,documentation,JIRA issue,issue ct,mapping ct,done in mta?,tests?,in schema?
local_id,x,y,parent field -- see child elements,{na},parent field,.,ids,n,local,{1},not indexed,x,x,x,x,x,Local record id value used to create id (with prepended institution code),.,x,LocalId,.,.,needed,.,0,0,y,.,.
local_id[value],local_id,n,na - no vernacular expected,{na},field element,.,ids,n,local,{1},not indexed,x,x,x,x,x,.,.,x,.,.,.,needed,.,0,4,.,.,.
location_hierarchy,x,n,na - no vernacular expected,{na},simple field,.,.,n,local,"{0,n}",facet:Location,x,Location,x,x,x,"Higher-level (library, etc.) locations housing volumes/copies of the resource described in the bib record ","Support for abstract, polyhierarchical location facet. Facet limits/excludes BIB records.",x,Location,x,x,https://trlnmain.atlassian.net/wiki/spaces/TD/pages/45056001/Location+item+holding+location+and+location+facet,.,0,1,.,.,.
misc_id,x,y,parent field -- see child elements,{na},parent field,.,ids,n,shared,"{0,n}",not indexed,y,x,x,Other details > (ids cluster) > Other IDs:,x,"Various IDs from MARC records (EAN, CODEN, Publisher numbers, etc).","There are MANY possible ID types, many of which are only relevant for certain formats or disciplines. Make a general use IDs field so these can be searched and displayed, without having to define every ID type separately.",.,Publisher Number,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/misc_id.adoc,https://trlnmain.atlassian.net/browse/TD-506,0,0,.,.,.
misc_id[display],misc_id,n,na - no vernacular expected,{na},field element,.,ids,n,shared,"{0,1}",not indexed,x,x,x,x,x,Boolean indicator of whether the data be displayed (default = true) ,x,x,x,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/misc_id.adoc,https://trlnmain.atlassian.net/browse/TD-506,0,1,.,.,.
misc_id[qual],misc_id,n,pass through/store vernacular -- no special processing,test/verification needed,field element,.,ids,n,shared,"{0,1}",not indexed,x,x,x,Other details > (ids cluster) > Other IDs:,Displayed after the [value] if populated,Qualifying information for the id,Info useful for understanding the ID and what it refers to,x,x,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/misc_id.adoc,https://trlnmain.atlassian.net/browse/TD-506,0,6,.,.,.
misc_id[type],misc_id,n,na - no vernacular expected,{na},field element,.,ids,n,shared,{1},not indexed,x,x,x,Other details > (ids cluster) > Other IDs:,"Diplayed as ""#{[type]}: "" prepended to [value]",Type of ID,Label for the id in display. Also maybe used in individual UIs to filter some IDs out of the display,x,x,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/misc_id.adoc,https://trlnmain.atlassian.net/browse/TD-506,0,28,.,.,.
misc_id[value],misc_id,n,na - no vernacular expected,{na},field element,.,ids,n,shared,{1},ids;;;keyword,x,x,x,Other details > (ids cluster) > Other IDs:,x,Value of ID,x,x,x,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/misc_id.adoc,https://trlnmain.atlassian.net/browse/TD-506,0,11,.,.,.
names,x,y,parent field -- see child elements,{na},parent field,names,names,n,shared,"{0,n}",not indexed,y,x,x,"Authors, etc.",x,All names recorded in name-only (i.e. NOT name/title) fields in the record,.,.,Author;;;Other Authors;;;Main Author,.,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/_pattern_names.adoc,https://trlnmain.atlassian.net/browse/TD-493,0,0,.,y,.
names[lang],names,n,na - supports vernacular processing,{na},field element,names,names,n,shared,"{0,1}",not indexed,x,x,x,x,x,Script/language code for field,Apply appropriate Solr language parsers,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/vernacular_scripts.adoc,https://trlnmain.atlassian.net/browse/TD-705,0,0,n,y,.
names[name],names,n,vernacular processing needed,implementation needed,field element,names,names,n,shared,{1},author;;;keyword,x,Author,x,"Authors, etc.",x,Name portion,.,.,Author;;;Other Authors;;;Main Author,"Vernacular processing applied to values sent to searchable indexed author fields, NOT values sent to author facet field",See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/_pattern_names.adoc,https://trlnmain.atlassian.net/browse/TD-493,0,7,.,y,.
names[rel],names,n,na - no vernacular expected,{na},field element,names,names,n,shared,"{0,n}",keyword,x,x,x,"Authors, etc.",x,Human-readable relator term(s),.,.,x,.,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/_pattern_names.adoc,https://trlnmain.atlassian.net/browse/TD-493,0,7,.,y,.
names[type],names,n,na - no vernacular expected,{na},field element,names,names,n,shared,{1},not indexed,x,x,x,x,x,"Name category, derived from relators when they exist. Defaults to 'no_rel' if not explicitly set.","Support dynamic creation of separate Solr field for each type of name, allowing different types of names to be relevance ranked and mapped to Author facet independently",x,x,.,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/_pattern_names.adoc,https://trlnmain.atlassian.net/browse/TD-493,0,7,.,y,.
note_access_restrictions,x,n,pass through/store vernacular -- no special processing,test/verification needed,simple field,notes,notes,n,shared,"{0,n}",not indexed,x,x,?,?,"Considered important to display prominently, especially for e-resources. ",Note about access restrictions or lack thereof,"May want to show more prominently than other notes, given that the resource may not be accessible to some users",x,Access Restriction,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,0,1,.,.,.
note_admin_history,x,n,vernacular processing needed,convert to structured field w/lang element - map/doc needed,simple field,default,notes,n,shared,"{0,n}",keyword,y,x,x,Other details > (notes cluster) > History of originating institution(s):,x,Historical info about groups or events involved in the creation of the material described.,x,.,x,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,0,1,n,.,.
note_binding,x,y,parent field -- see child elements,{na},parent field,notes,notes,n,shared,"{0,n}",not indexed,y,x,x,x,x,"Binding information intended primarily for use with antiquarian materials, rare books and other special collections.",Full description of rare materials,.,x,See linked documentation,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,0,0,.,.,.
note_binding[label],note_binding,n,pass through/store vernacular -- no special processing,test/verification needed,field element,notes,notes,n,shared,"{0,1}",not indexed,x,x,x,Other details > (item/copy-specific description cluster) > Binding details:,x,Contextualizing label for data in the field,.,x,x,See linked documentation,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,0,1,.,.,.
note_binding[value],note_binding,n,vernacular processing needed,define new element - map/doc needed,field element,notes,notes,n,shared,{1},keyword,x,x,x,Other details > (item/copy-specific description cluster) > Binding details:,x,Value of the field,.,.,Indexed Notes,See linked documentation,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,0,1,.,.,.
note_biographical,x,n,vernacular processing needed,convert to structured field w/lang element - map/doc needed,simple field,default,notes,n,shared,"{0,n}",keyword,y,x,x,Other details > (notes cluster) > Biographical sketch of creator(s):,x,Biographical info about persons involved in the creation of the material described.,x,.,Biographical Sketch,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,0,1,n,.,.
note_cited_in,x,y,parent field -- see child elements,{na},parent field,{na},notes,n,shared,"{0,n}",not indexed,y,x,x,x,x,Information about where this item is cited or indexed,Important to special collections,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-483,0,0,n,y,.
note_cited_in[indexed_value],note_cited_in,n,vernacular processing needed,define new element - map/doc needed,field element,notes,notes,n,shared,{1},keyword,x,x,x,x,x,Note to be indexed (if that differs from whole display note),x,low,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-804,0,1,.,.,.
note_cited_in[label],note_cited_in,n,pass through/store vernacular -- no special processing,test/verification needed,field element,notes,notes,n,shared,"{0,1}",not indexed,x,x,x,Other details > (notes cluster) > Cited in:,x,Contextualizing label for data in the field,x,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-804,0,1,.,.,.
note_cited_in[value],note_cited_in,n,vernacular processing needed,define new element - map/doc needed,field element,notes,notes,n,shared,{1},keyword,x,x,x,Other details > (notes cluster) > Cited in:,x,Main body of the note to be displayed (and indexed if there's no separate [indexed_value] setting,x,low,Notes,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-804,0,1,.,.,.
note_copy_version,x,n,pass through/store vernacular -- no special processing,test/verification needed,simple field,default,notes,n,shared,"{0,n}",not indexed,y,x,x,Other details > (item/copy-specific description cluster) > (no label),x,Information that distinguishes the copy(s) or version(s) of materials when more than one copy or version exists or could exist.,Support identification/selection of resources,x,x,Institutions may want to push notes from locally defined data sources to this element,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,0,1,.,.,.
note_data_quality,x,n,pass through/store vernacular -- no special processing,test/verification needed,simple field,default,notes,n,shared,"{0,n}",not indexed,x,x,x,Other details > (data description cluster) > Data quality:,x,Provides a general assessment of the quality of the data set constituting the item.,.,x,Notes,See linked documentation,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,0,1,n,n,.
note_described_by,x,n,pass through/store vernacular -- no special processing,test/verification needed,simple field,default,notes,n,shared,"{0,n}",not indexed,y,x,x,Other details > (notes cluster) > Described by:,x,"Provides information on indexes, finding aids, and other descriptions used to access, use, or control the work described in the record.",.,x,Cumulative Indexes,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-483,0,3,n,y,.
note_dissertation,x,n,vernacular processing needed,convert to structured field w/lang element - map/doc needed,simple field,default,notes,n,shared,"{0,n}",keyword,y,x,x,Other details > (notes cluster) > (no label/self labeled),x,Designation of an academic dissertation or thesis and the institution to which it was presented.,.,.,x,See linked documentation,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,0,1,n,n,.
note_file_type,x,n,pass through/store vernacular -- no special processing,test/verification needed,simple field,default,notes,n,shared,"{0,n}",not indexed,y,x,x,Other details > (physical description cluster) > File/data type:,x,"General descriptor that characterizes the file (e.g., text, computer program, numeric). Specific information, such as the form or genre of textual material (e.g., biography, dictionaries, indexes) may be included.",May want to show with the rest of the physical-ish item description details,.,x,See linked documentation,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,0,1,n,n,.
note_former_title,x,n,pass through/store vernacular -- no special processing,test/verification needed,simple field,default,title-variant,n,shared,"{0,n}",not indexed,y,x,x,(Variant titles cluster),No additional label should be required. Field data typically makes sense on its own.,Description of the complex relationship between titles proper whenever an intelligible note cannot be system generated from the data in field 247,"Display only because titles should be indexed from 247s, which ideally are coded as indexed only, leaving this note as the place where the titles are displayed)",x,Notes,See linked documentation,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,0,1,.,.,.
note_general,x,y,parent field -- see child elements,{na},parent field,notes,notes,n,shared,"{0,n}",not indexed,y,x,x,Other details > (notes cluster) > Notes: [label]: [value],x,"All displayed notes not included in a more specific field, kept in catalog record order, with labels provided",x,x,Notes,See linked documentation,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,0,0,n,.,.
note_general[indexed],note_general,n,na - no vernacular expected,{na},field element,notes,notes,n,shared,"{0,1}",not indexed,x,x,x,x,x,"Whether the note value should be indexed. If not explicitly set to false, assume true.",x,x,x,See linked documentation,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,.,0,4,.,.,.
note_general[indexed_value],note_general,n,vernacular processing needed,define new element - map/doc needed,field element,notes,notes,n,shared,"{0,1}",keyword,x,x,x,x,x,"Note content that will be indexed, populated only if different from [value]",x,.,Indexed Notes,See linked documentation,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,0,1,n,.,.
note_general[label],note_general,n,pass through/store vernacular -- no special processing,test/verification needed,field element,notes,notes,n,shared,"{0,1}",not indexed,x,x,x,Other details > (notes cluster) > Notes: [label]: [value],x,Intial label portion of note,x,x,Notes,See linked documentation,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,0,15,n,.,.
note_general[value],note_general,n,vernacular processing needed,define new element - map/doc needed,field element,notes,notes,n,shared,{1},keyword,x,x,x,Other details > (notes cluster) > Notes: [label]: [value],x,Displayed note value. Will be indexed if [indexed] is not false and [indexed_value] is not set.,x,x,Notes,See linked documentation,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,0,11,n,.,.
note_issuance,x,n,vernacular processing needed,convert to structured field w/lang element - map/doc needed,simple field,default,notes,n,shared,"{0,n}",keyword,y,x,x,Other details > (publication cluster) > no label,"Show beneath whatever is shown for ""Published:"" Note should be self-explanatory when seen in this context","Information about materials issued with the described resource, or issuing body of the described resource",Includes textual notes on mode of issuance (closely related or synonymous with publication) or those responsible for issuance,.,Notes,See linked documentation,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,0,1,n,.,.
note_local,x,y,parent field -- see child elements,{na},parent field,notes,notes,n,local,"{0,n}",not indexed,y,x,x,x,x,"Local notes, specific to a given institution",.,.,Indexed Notes;;;Notes;;;Source of Acquisition,See linked documentation,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,0,0,n,.,.
note_local[indexed],note_local,n,na - no vernacular expected,{na},field element,notes,notes,n,local,"{0,1}",not indexed,x,x,x,x,x,"Whether the note value should be indexed. If not explicitly set to false, assume true.",.,.,Indexed Notes;;;Notes;;;Source of Acquisition,See linked documentation,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,0,3,n,.,.
note_local[indexed_value],note_local,n,vernacular processing needed,define new element - map/doc needed,field element,notes,notes,n,local,"{0,1}",keyword,x,x,x,x,x,"The value of the note to index, if different from what should be displayed",.,.,Indexed Notes;;;Notes;;;Source of Acquisition,See linked documentation,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,0,1,n,.,.
note_local[label],note_local,n,pass through/store vernacular -- no special processing,test/verification needed,field element,notes,notes,n,local,"{0,1}",not indexed,x,x,x,Other details > (item/copy specific cluster) > (no label),x,The contextualizing label for this instance of the field,.,.,Indexed Notes;;;Notes;;;Source of Acquisition,See linked documentation,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,0,4,n,.,.
note_local[value],note_local,n,vernacular processing needed,define new element - map/doc needed,field element,notes,notes,n,local,{1},keyword,x,x,x,Other details > (item/copy specific cluster) > (no label),x,The value of the note field. Is displayed. Is indexed if indexing is not turned off and there is not a separate indexed_value set.,.,.,Indexed Notes;;;Notes;;;Source of Acquisition,See linked documentation,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,0,6,n,.,.
note_methodology,x,n,pass through/store vernacular -- no special processing,test/verification needed,simple field,default,notes,n,shared,"{0,n}",not indexed,x,x,x,Other details > (data description cluster) > Methodology:,x,"Information concerning significant methodological characteristics of the material, such as the algorithm, universe description, sampling procedures, classification, or validation characteristics.",x,x,Notes,See linked documentation,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,0,1,.,.,.
note_numbering,x,n,pass through/store vernacular -- no special processing,test/verification needed,simple field,default,notes,n,shared,"{0,n}",not indexed,y,x,x,Other details > (serials cluster) > Numbering peculiarities:,x,"Unformatted note giving irregularities and peculiarities in numbering or publishing patterns, report year coverage, revised editions, and/or issuance in parts.",.,x,Notes,See linked documentation,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,0,1,n,n,.
note_organization,x,n,pass through/store vernacular -- no special processing,test/verification needed,simple field,default,notes,n,shared,"{0,n}",not indexed,y,x,x,Other details > (physical description cluster) > Organization/arrangement of collection:,x,Information about the organization and arrangement of a collection of items,Important for archival materials,x,Organization,See linked documentation,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-477,0,1,.,.,.
note_performer_credits,x,y,parent field -- see child elements,{na},parent field,notes,notes,n,shared,"{0,n}",not indexed,y,x,x,x,x,"Information about the participants, players, narrators, presenters, or performers.",.,x,Performer Credits,See linked documentation,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,0,0,n,n,.
note_performer_credits[label],note_performer_credits,n,pass through/store vernacular -- no special processing,test/verification needed,field element,notes,notes,n,shared,"{0,1}",not indexed,x,x,x,Other details > (responsibility cluster) > Performers/participants:,x,Optional contextualizing label for note,.,x,x,See linked documentation,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,0,1,n,n,.
note_performer_credits[value],note_performer_credits,n,vernacular processing needed,define new element - map/doc needed,field element,notes,notes,n,shared,{1},author;;;keyword,x,x,x,Other details > (responsibility cluster) > Performers/participants:,x,The value of the note,.,x,x,See linked documentation,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,0,1,n,n,.
note_production_credits,x,n,vernacular processing needed,convert to structured field w/lang element - map/doc needed,simple field,default,notes,n,shared,"{0,n}",author;;;keyword,y,x,x,Other details > (responsibility cluster) > Credits:,x,"Credits for persons or organizations, other than members of the cast, who have participated in the creation and/or production of the work.",.,x,Production Credits,See linked documentation,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,0,1,n,n,.
note_related_work,x,y,parent field -- see child elements,{na},parent field,notes,notes,n,shared,"{0,n}",not indexed,y,x,x,x,x,Notes describing related resources,.,x,Related Collections,See linked documentation,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,0,0,.,.,.
note_related_work[indexed],note_related_work,n,na - no vernacular expected,{na},field element,notes,notes,n,shared,"{0,1}",not indexed,x,x,x,x,x,"Whether the note value should be indexed. If not explicitly set to false, assume true.",x,x,x,See linked documentation,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,0,4,.,.,.
note_related_work[indexed_value],note_related_work,n,vernacular processing needed,define new element - map/doc needed,field element,notes,notes,n,shared,"{0,1}",keyword,x,x,x,x,x,The indexed part of the note value,x,low,x,See linked documentation,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,0,1,.,.,.
note_related_work[label],note_related_work,n,pass through/store vernacular -- no special processing,test/verification needed,field element,notes,notes,n,shared,"{0,1}",not indexed,x,x,x,Related items,x,The contextualizing label for this instance of the field,x,x,x,See linked documentation,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,0,8,.,.,.
note_related_work[value],note_related_work,n,pass through/store vernacular -- no special processing,test/verification needed,field element,notes,notes,n,shared,{1},not indexed,x,x,x,Related items,x,The display value of the note,x,x,x,See linked documentation,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,0,3,.,.,.
note_report_coverage,x,n,pass through/store vernacular -- no special processing,test/verification needed,simple field,default,notes,n,shared,"{0,n}",not indexed,y,x,x,Other details > (publication cluster) > Report covers:,x,Time period covered by the report,.,x,x,See linked documentation,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,0,1,n,n,.
note_report_type,x,n,pass through/store vernacular -- no special processing,test/verification needed,simple field,default,notes,n,shared,"{0,n}",not indexed,y,x,x,Other details > (physical description cluster) > Type of report:,x,Type of report described by the record,.,x,x,See linked documentation,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,0,1,n,n,.
note_reproduction,x,y,parent field -- see child elements,{na},parent field,notes,notes,n,shared,"{0,n}",not indexed,y,x,x,Other details > (publication cluster) > no label,x,Descriptive data for a reproduction of an original item when the main portion of the bibliographic record describes the original item and the data differ.,x,x,Notes,See linked documentation,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,0,0,n,.,.
note_reproduction[indexed],note_reproduction,n,na - no vernacular expected,{na},field element,notes,notes,n,shared,"{0,1}",not indexed,x,x,x,x,x,"Whether the note value should be indexed. If not explicitly set to false, assume true.",x,x,x,See linked documentation,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,0,3,.,.,.
note_reproduction[indexed_value],note_reproduction,n,vernacular processing needed,define new element - map/doc needed,field element,notes,notes,n,shared,"{0,1}",keyword,x,x,x,x,x,"Note content that will be indexed, populated only if different from [value]",x,.,Indexed Notes,See linked documentation,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,0,2,n,.,.
note_reproduction[label],note_reproduction,n,pass through/store vernacular -- no special processing,test/verification needed,field element,notes,notes,n,shared,"{0,1}",not indexed,x,x,x,Other details > (publication cluster) > Reproduction details:,x,Intial label portion of note,x,x,Notes,See linked documentation,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,0,5,n,.,.
note_reproduction[value],note_reproduction,n,pass through/store vernacular -- no special processing,test/verification needed,field element,notes,notes,n,shared,{1},not indexed,x,x,x,Other details > (publication cluster) > Reproduction details:,x,Displayed note value. Will be indexed if [indexed] is not false and [indexed_value] is not set.,x,x,Notes,See linked documentation,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,0,2,n,.,.
note_scale,x,n,vernacular processing needed,convert to structured field w/lang element - map/doc needed,simple field,default,notes,n,shared,"{0,n}",keyword,y,x,x,Other details > (physical description cluster) > (no label/self labeled),x,"Details of the scale of graphic materials, or the scale and other cartographic details of cartographic materials",.,x,Cartographic Data;;;Indexed Notes,See linked documentation,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,0,2,n,n,.
note_serial_dates,x,n,pass through/store vernacular -- no special processing,test/verification needed,simple field,default,notes,n,shared,"{0,n}",not indexed,y,x,x,Other details > (publication cluster) > no label,x,Beginning/ending date(s) of an item and/or the sequential designations used on each part.,.,x,Volumes,See linked documentation,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-553,0,1,n,n,.
note_summary,x,n,vernacular processing needed,convert to structured field w/lang element - map/doc needed,simple field,.,notes,n,shared,"{0,n}",keyword,y,x,x,Summary,"If Syndetics summary is available, it is displayed. If not, and note_summary is populated, it is displayed.","Summary note from source record. Indexed, but will not be displayed if there is a Syndetics Summary available",.,.,Summary,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-207,1,1,y,.,.
note_supplement,x,n,pass through/store vernacular -- no special processing,test/verification needed,simple field,default,notes,n,shared,"{0,n}",not indexed,y,x,x,Other details > (serials cluster) > (no label),x,Information on the existence of supplements or special issues that are neither cataloged in separate records nor recorded in a linking entry field 770,.,x,Notes,See linked documentation,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,0,1,n,n,.
note_system_details,x,n,na - no vernacular expected,{na},simple field,default,notes,y,shared,"{0,n}",not indexed,y,x,x,Other details > (physical description cluster) > System details: ,x,Technical information about an item and the requirements for using it,.,x,System Details,See linked documentation,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,0,1,.,.,.
note_toc,x,n,vernacular processing needed,convert to structured field w/lang element - map/doc needed,simple field,.,notes,n,shared,"{0,n}",keyword,y,x,x,Contents,"If Syndetics TOC data is available, it is displayed. If not, and note_toc is populated, it is displayed.","Contents note from source record. Indexed, but will not be displayed if there is a Syndetics TOC",.,.,Table of Contents,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-209,0,1,y,.,.
note_with,x,n,vernacular processing needed,convert to structured field w/lang element - map/doc needed,simple field,default,notes,n,shared,"{0,n}",keyword,y,x,x,?,See linked documentation for question(s) about where this should be displayed,"""With"" note. Note indicating that more than one bibliographical work is contained in the physical item at the time of publishing, release, issue, or execution",.,x,Indexed Notes,See linked documentation,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,0,1,n,n,.
oclc_number,x,y,parent field -- see child elements,{na},parent field,.,ids,n,local,"{0,1}",not indexed,x,x,x,x,x,Hash containing different OCLC number elements,.,x,x,.,x,needed,.,0,0,y,.,.
oclc_number[old],oclc_number,n,na - no vernacular expected,{na},field element,.,ids,n,local,"{0,n}",ids;;;keyword,x,x,x,x,x,OCLC record numbers of no-longer-existing WorldCat master records that were merged into this record,"OCLC merges records all the time. If you have the OCLC number of a merged/deleted record, you should be able to be able to find the current record if it's in the system. Possibly improve rollup performance down the road.",.,x,x,"Digits only. Strip off ocn/ocm/on prefixes. If coming from 035z, remove (OCoLC)",needed,.,0,1,y,.,.
oclc_number[value],oclc_number,n,na - no vernacular expected,{na},field element,.,ids,n,local,"{0,1}",ids;;;keyword,x,x,x,Other details > (ids cluster) > OCLC WorldCat record ID:,x,OCLC record number,.,.,OCLCNumber,x,"Digits only. Strip off ocn/ocm/on prefixes. If coming from 035, remove (OCoLC)",needed,.,0,3,y,.,.
