parent element,element,source schema,provisional?,institution,source data element,source data subelement,constraints,processing_type,processing instructions,notes,mapping_id,mapping issue ct,field issue ct,field defined?,done in mta?,tests done?,,,,,
note_described_by,note_described_by,MARC,n,GEN,555,abcdu3,i1=0,concat_subelements,"Prepend to field (after any $3 label): ""Finding aids: """,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,note_described_byGEN555abcdu3i1=0,0,0,n,n,y,,,,,
note_described_by,note_described_by,MARC,n,GEN,555,abcdu3,i1=blank,concat_subelements,"Prepend to field (after any $3 label): ""Indexes: """,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,note_described_byGEN555abcdu3i1=blank,0,0,n,n,y,,,,,
note_described_by,note_described_by,MARC,n,GEN,555,abcdu3,i1!=~/[ 0]/,concat_subelements,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,note_described_byGEN555abcdu3i1!=~/[ 0]/,0,0,n,n,y,,,,,
note_dissertation,note_dissertation[value],MARC,n,GEN,502,abcdg,none,concat_subelements,Complex instructions. Refer to linked documentation for this field,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,note_dissertation[value]GEN502abcdgnone,0,0,n,n,n,,,,,
note_file_type,note_file_type,MARC,n,GEN,516,a,none,concat_subelements,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,note_file_typeGEN516anone,0,0,n,,,,,,,
note_former_title,note_former_title,MARC,n,GEN,547,a,none,subelement_to_value,x,x,note_former_titleGEN547anone,0,0,n,,,,,,,
note_general,note_general[indexed],MARC,n,GEN,504,{na},none,constant, = false,.,note_general[indexed]GEN504{na}none,0,0,n,n,n,,,,,
note_general,note_general[indexed],MARC,n,GEN,518,{na},none,constant, = false,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,note_general[indexed]GEN518{na}none,0,0,n,,,,,,,
note_general,note_general[indexed],MARC,n,GEN,521,{na},none,constant, = false,x,note_general[indexed]GEN521{na}none,0,0,n,,,,,,,
note_general,note_general[indexed],MARC,n,GEN,556,{na},none,constant, = false,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,note_general[indexed]GEN556{na}none,0,0,n,,,,,,,
note_general,note_general[indexed_value],MARC,n,GEN,526,a,none,concat_subelements,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,note_general[indexed_value]GEN526anone,0,0,n,,,,,,,
note_general,note_general[label],MARC,n,GEN,500,3,field does NOT contain $5,concat_subelements,.,.,note_general[label]GEN5003field does NOT contain $5,0,0,n,n,n,,,,,
note_general,note_general[label],MARC,n,GEN,518,3,none,concat_subelements,x,x,note_general[label]GEN5183none,0,0,n,,,,,,,
note_general,note_general[label],MARC,n,GEN,521,3,none,see notes,"label = ""#{$3 value}: #{value based on i1}""",https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,note_general[label]GEN5213none,0,0,n,,,,,,,
note_general,note_general[label],MARC,n,GEN,521,{na},$3 NOT present,see notes,Set label based on i1 value,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,note_general[label]GEN521{na}$3 NOT present,0,0,n,,,,,,,
note_general,note_general[label],MARC,n,GEN,522,{na},i1=blank,constant, = Geographic coverage,x,note_general[label]GEN522{na}i1=blank,0,0,n,,,,,,,
note_general,note_general[label],MARC,n,GEN,522,{na},i1=8,DO NOT SET,x,x,note_general[label]GEN522{na}i1=8,0,0,n,,,,,,,
note_general,note_general[label],MARC,n,GEN,526,{na},i1!=0 AND $i,constant, = #{$i value},https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,note_general[label]GEN526{na}i1!=0 AND $i,0,0,n,,,,,,,
note_general,note_general[label],MARC,n,GEN,526,{na},i1=0 AND $i,constant, = Reading program: #{$i value},https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,note_general[label]GEN526{na}i1=0 AND $i,0,0,n,,,,,,,
note_general,note_general[label],MARC,n,GEN,526,{na},i1=0 AND !$i,constant, = Reading program:,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,note_general[label]GEN526{na}i1=0 AND !$i,0,0,n,,,,,,,
note_general,note_general[label],MARC,n,GEN,526,{na},i1!=0 AND !$i,DO NOT SET,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,note_general[label]GEN526{na}i1!=0 AND !$i,0,0,n,,,,,,,
note_general,note_general[label],MARC,n,GEN,536,{na},none,constant, = Funding details,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,note_general[label]GEN536{na}none,0,0,n,,,,,,,
note_general,note_general[label],MARC,n,GEN,546,3,none,concat_subelements,x,x,note_general[label]GEN5463none,0,0,n,,,,,,,
note_general,note_general[label],MARC,n,GEN,556,{na},i1=blank,constant, = Documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,note_general[label]GEN556{na}i1=blank,0,0,n,,,,,,,
note_general,note_general[label],MARC,n,GEN,585,3,none,concat_subelements,x,x,note_general[label]GEN5853none,0,0,n,,,,,,,
note_general,note_general[label],MARC,n,GEN,586,3,none,concat_subelements,x,x,note_general[label]GEN5863none,0,0,n,,,,,,,
note_general,note_general[value],MARC,n,GEN,500,a,field does NOT contain $5,concat_subelements,.,.,note_general[value]GEN500afield does NOT contain $5,0,0,n,n,n,,,,,
note_general,note_general[value],MARC,n,GEN,504,ab,none,concat_subelements,"Prefix $b value with: ""Number of references: """,.,note_general[value]GEN504abnone,0,0,n,n,n,,,,,
note_general,note_general[value],MARC,n,GEN,518,adop,none,concat_subelements,x,x,note_general[value]GEN518adopnone,0,0,n,,,,,,,
note_general,note_general[value],MARC,n,GEN,521,ab,none,see notes,Create source statement from $b; separate repeated $a with '; ',https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,note_general[value]GEN521abnone,0,0,n,,,,,,,
note_general,note_general[value],MARC,n,GEN,522,a,none,concat_subelements,x,x,note_general[value]GEN522anone,0,0,n,,,,,,,
note_general,note_general[value],MARC,n,GEN,526,abcdz,none,see notes,Complex instructions. Refer to linked documentation for this field,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,note_general[value]GEN526abcdznone,0,0,n,,,,,,,
note_general,note_general[value],MARC,n,GEN,536,abcdefgh,none,concat_subelements,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,note_general[value]GEN536abcdefghnone,0,0,n,,,,,,,
note_general,note_general[value],MARC,n,GEN,546,ab,none,concat_subelements,x,x,note_general[value]GEN546abnone,0,0,n,,,,,,,
note_general,note_general[value],MARC,n,GEN,556,a,none,concat_subelements,,,note_general[value]GEN556anone,0,0,n,,,,,,,
note_general,note_general[value],MARC,n,GEN,585,a,none,concat_subelements,x,x,note_general[value]GEN585anone,0,0,n,,,,,,,
note_general,note_general[value],MARC,n,GEN,586,a,none,concat_subelements,x,x,note_general[value]GEN586anone,0,0,n,,,,,,,
note_issuance,note_issuance[value],MARC,n,GEN,550,a,none,concat_subelements,x,x,note_issuance[value]GEN550anone,0,0,n,,,,,,,
note_local,note_local[indexed],MARC,n,UNC,541,{na},none,DO NOT SET,x,default if not set = true; all UNC's local notes are at least partially indexed,note_local[indexed]UNC541{na}none,0,0,n,,,,,,,
note_local,note_local[indexed],MARC,n,UNC,790,{na},none,DO NOT SET,x,default if not set = true; all UNC's local notes are at least partially indexed,note_local[indexed]UNC790{na}none,0,0,n,,,,,,,
note_local,note_local[indexed],MARC,n,UNC,791,{na},none,DO NOT SET,x,default if not set = true; all UNC's local notes are at least partially indexed,note_local[indexed]UNC791{na}none,0,0,n,,,,,,,
note_local,note_local[indexed_value],MARC,n,UNC,541,a,none,subelement_to_value,.,.,note_local[indexed_value]UNC541anone,0,0,n,n,n,,,,,
note_local,note_local[label],MARC,n,GEN,500,3,field contains whitelisted $5 value,concat_subelements,.,.,note_local[label]GEN5003field contains whitelisted $5 value,0,0,n,n,n,,,,,
note_local,note_local[label],MARC,n,GEN,561,{na},ind1 != 0 and $3 NOT present,constant, = Ownership history,,note_local[label]GEN561{na}ind1 != 0 and $3 NOT present,0,0,n,,,,,,,
note_local,note_local[label],MARC,n,GEN,561,3,ind1 != 0 and $3 present,concat_subelements, = Ownership history: #{$3 value(s)},.,note_local[label]GEN5613ind1 != 0 and $3 present,0,0,n,,,,,,,
note_local,note_local[label],MARC,n,UNC,541,{na},none,constant, = Source of acquisition,.,note_local[label]UNC541{na}none,0,0,n,,,,,,,
note_local,note_local[value],MARC,n,GEN,500,a,field contains whitelisted $5 value,concat_subelements,.,.,note_local[value]GEN500afield contains whitelisted $5 value,0,0,n,n,n,,,,,
note_local,note_local[value],MARC,n,GEN,561,a,ind1 != 0,concat_subelements,.,.,note_local[value]GEN561aind1 != 0,0,0,n,n,n,,,,,
note_local,note_local[value],MARC,n,GEN,590,a,none,concat_subelements,.,.,note_local[value]GEN590anone,0,0,n,n,n,,,,,
note_local,note_local[value],MARC,n,UNC,541,abcdefhno3,none,concat_subelements,DO NOT use $3 to create label,.,note_local[value]UNC541abcdefhno3none,0,0,n,n,n,,,,,
note_local,note_local[value],MARC,n,UNC,790,abcdgqu,ind 1 = 0,concat_subelements,"Prepend: ""Donated by """,.,note_local[value]UNC790abcdgquind 1 = 0,0,0,n,y,y,,,,,
note_local,note_local[value],MARC,n,UNC,791,abcdfg,ind 1 = 2,concat_subelements,"Prepend: ""Purchased using funds from the """,.,note_local[value]UNC791abcdfgind 1 = 2,0,0,n,y,y,,,,,
note_methodology,note_methodology,MARC,n,GEN,567,a,none,concat_subelements,x,x,note_methodologyGEN567anone,0,0,n,,,,,,,
note_numbering,note_numbering,MARC,n,GEN,515,a,none,concat_subelements,x,x,note_numberingGEN515anone,0,0,n,n,n,,,,,
note_organization,note_organization,MARC,n,GEN,351,abc3,none,concat_subelements,Create label from $3,x,note_organizationGEN351abc3none,0,0,n,n,n,,,,,
note_performer_credits,note_performer_credits[label],MARC,n,GEN,511,{na},ind1=1,constant, = Cast,x,note_performer_credits[label]GEN511{na}ind1=1,0,0,n,n,n,,,,,
note_performer_credits,note_performer_credits[value],MARC,n,GEN,511,a,none,concat_subelements,x,x,note_performer_credits[value]GEN511anone,0,0,n,n,n,,,,,
note_production_credits,note_production_credits,MARC,n,GEN,508,a,none,concat_subelements,x,x,note_production_creditsGEN508anone,0,0,n,n,n,,,,,
note_related_work,note_related_work[indexed],MARC,n,GEN,535,{na},none,constant, = false,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,note_related_work[indexed]GEN535{na}none,0,0,n,,,,,,,
note_related_work,note_related_work[indexed],MARC,n,GEN,544,{na},$d NOT present,constant, = false,"Only $d should be indexed, so if it is not there, we don't want the rest of the displayed note indexed",note_related_work[indexed]GEN544{na}$d NOT present,0,0,n,,,,,,,
note_related_work,note_related_work[indexed],MARC,n,GEN,544,{na},$d present,DO NOT SET,x,"By default, when not set, note will be indexed",note_related_work[indexed]GEN544{na}$d present,0,0,n,,,,,,,
note_related_work,note_related_work[indexed],MARC,n,GEN,580,{na},none,constant, = false,"Only $d should be indexed, so if it is not there, we don't want the rest of the displayed note indexed",note_related_work[indexed]GEN580{na}none,0,0,n,,,,,,,
note_related_work,note_related_work[indexed_value],MARC,n,GEN,544,d,none,concat_subelements,x,x,note_related_work[indexed_value]GEN544dnone,0,0,n,,,,,,,
note_related_work,note_related_work[label],MARC,n,GEN,535,3,i1=2 AND $3,see notes, = #{$3 value}: Duplicates held by,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,note_related_work[label]GEN5353i1=2 AND $3,0,0,n,,,,,,,
note_related_work,note_related_work[label],MARC,n,GEN,535,3,i1=1 AND $3,see notes, = #{$3 value}: Originals held by,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,note_related_work[label]GEN5353i1=1 AND $3,0,0,n,,,,,,,
note_related_work,note_related_work[label],MARC,n,GEN,535,{na},i1=2 AND !$3,constant, = Duplicates held by,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,note_related_work[label]GEN535{na}i1=2 AND !$3,0,0,n,,,,,,,
note_related_work,note_related_work[label],MARC,n,GEN,535,{na},i1=1 AND !$3,constant, = Originals held by,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,note_related_work[label]GEN535{na}i1=1 AND !$3,0,0,n,,,,,,,
note_related_work,note_related_work[label],MARC,n,GEN,544,3,i1=~/[01]/,see notes, = #{$3 value}: Related materials,x,note_related_work[label]GEN5443i1=~/[01]/,0,0,n,,,,,,,
note_related_work,note_related_work[label],MARC,n,GEN,544,3,i1=blank,subelement_to_value, = #{$3 value},x,note_related_work[label]GEN5443i1=blank,0,0,n,,,,,,,
note_related_work,note_related_work[label],MARC,n,GEN,544,{na},i1=~/[01]/ AND !$3,constant, = Related materials,x,note_related_work[label]GEN544{na}i1=~/[01]/ AND !$3,0,0,n,,,,,,,
note_related_work,note_related_work[label],MARC,n,GEN,544,{na},i1=blank AND !$3,DO NOT SET,x,x,note_related_work[label]GEN544{na}i1=blank AND !$3,0,0,n,,,,,,,
note_related_work,note_related_work[value],MARC,n,GEN,535,abcdg,none,concat_subelements,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,note_related_work[value]GEN535abcdgnone,0,0,n,,,,,,,
note_related_work,note_related_work[value],MARC,n,GEN,544,abcden,none,concat_subelements,x,x,note_related_work[value]GEN544abcdennone,0,0,n,,,,,,,
note_related_work,note_related_work[value],MARC,n,GEN,580,a,none,concat_subelements,x,x,note_related_work[value]GEN580anone,0,0,n,,,,,,,
note_report_coverage,note_report_coverage,MARC,n,GEN,513,b,none,concat_subelements,x,x,note_report_coverageGEN513bnone,0,0,n,n,n,,,,,
note_report_type,note_report_type,MARC,n,GEN,513,a,none,concat_subelements,deduplicate field once all values are assigned,x,note_report_typeGEN513anone,0,0,n,n,n,,,,,
note_reproduction,note_reproduction[indexed],MARC,n,GEN,533,{na},!$c AND !$f,constant, = false,"Only $c and/or $f should be indexed, so if they aren't present, we don't want the rest of the displayed note indexed",note_reproduction[indexed]GEN533{na}!$c AND !$f,0,0,n,,,,,,,
note_reproduction,note_reproduction[indexed],MARC,n,GEN,534,{na},$p AND !$[atk],constant, = false,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,note_reproduction[indexed]GEN534{na}$p AND !$[atk],0,0,n,,,,,,,
note_reproduction,note_reproduction[indexed],MARC,n,GEN,534,{na},!$p,constant, = false,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,note_reproduction[indexed]GEN534{na}!$p,0,0,n,,,,,,,
note_reproduction,note_reproduction[indexed_value],MARC,n,GEN,533,cf,none,concat_subelements,x,x,note_reproduction[indexed_value]GEN533cfnone,0,0,n,,,,,,,
note_reproduction,note_reproduction[indexed_value],MARC,n,GEN,534,atk,$p AND $[atk],concat_subelements,Complex instructions. Refer to linked documentation for this field,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,note_reproduction[indexed_value]GEN534atk$p AND $[atk],0,0,n,,,,,,,
note_reproduction,note_reproduction[label],MARC,n,GEN,533,3,none,subelement_to_value,x,x,note_reproduction[label]GEN5333none,0,0,n,,,,,,,
note_reproduction,note_reproduction[label],MARC,n,GEN,534,p3,$p AND $3,concat_subelements, = #{$3 value}: #{$p value},https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,note_reproduction[label]GEN534p3$p AND $3,0,0,n,,,,,,,
note_reproduction,note_reproduction[label],MARC,n,GEN,534,3,!$p AND $3,concat_subelements, = #{$3 value}: Original version,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,note_reproduction[label]GEN5343!$p AND $3,0,0,n,,,,,,,
note_reproduction,note_reproduction[label],MARC,n,GEN,534,{na},!$p AND !$3,constant, = Original version,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,note_reproduction[label]GEN534{na}!$p AND !$3,0,0,n,,,,,,,
note_reproduction,note_reproduction[label],MARC,n,GEN,534,p,$p AND !$3,concat_subelements,Complex instructions. Refer to linked documentation for this field,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,note_reproduction[label]GEN534p$p AND !$3,0,0,n,,,,,,,
note_reproduction,note_reproduction[value],MARC,n,GEN,533,abcdefmn,none,concat_subelements,x,x,note_reproduction[value]GEN533abcdefmnnone,0,0,n,,,,,,,
note_reproduction,note_reproduction[value],MARC,n,GEN,534,abcefklmnotxz,$p,concat_subelements,Complex instructions. Refer to linked documentation for this field,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,note_reproduction[value]GEN534abcefklmnotxz$p,0,0,n,,,,,,,
note_scale,note_scale,MARC,n,GEN,255,abcdefg,none,concat_subelements,x,x,note_scaleGEN255abcdefgnone,0,0,n,n,n,,,,,
note_scale,note_scale,MARC,n,GEN,507,ab,none,concat_subelements,x,x,note_scaleGEN507abnone,0,0,n,n,n,,,,,
note_serial_dates,note_serial_dates,MARC,n,GEN,362,az,none,concat_subelements,"Replace ""Cf."" in $z with ""Data from:""; Enclose full $z value in parentheses",https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc#examples-note_serial_dates,note_serial_datesGEN362aznone,0,0,n,n,y,,,,,
note_summary,note_summary,MARC,n,GEN,520,abc3,none,concat_subelements,x,https://trlnmain.atlassian.net/wiki/spaces/TD/pages/96665601/Argon+Fields+and+their+display,note_summaryGEN520abc3none,0,1,n,y,.,,,,,
note_supplement,note_supplement,MARC,n,GEN,525,a,none,concat_subelements,x,x,note_supplementGEN525anone,0,0,n,,,,,,,
note_system_details,note_system_details,MARC,n,GEN,538,aiu3,none,concat_subelements,Create label from $3 + $i if either or both are present,x,note_system_detailsGEN538aiu3none,0,0,n,,,,,,,
note_toc,note_toc,MARC,n,GEN,505,agrt,none,concat_subelements,x,https://trlnmain.atlassian.net/wiki/spaces/TD/pages/96665601/Argon+Fields+and+their+display,note_tocGEN505agrtnone,0,0,n,y,.,,,,,
note_with,note_with,MARC,n,GEN,501,a,none,concat_subelements,.,.,note_withGEN501anone,0,0,n,n,n,,,,,
oclc_number,oclc_number[old],MARC,n,UNC,019,a,none,subelement_to_value,x,https://github.com/trln/marc-to-argot/blob/master/spec/unc_oclc_number_spec.rb,oclc_number[old]UNC19anone,0,0,n,y,y,,,,,
oclc_number,oclc_number[value],MARC,n,UNC,001,{whole field},complex contraint logic,complex,see notes,https://github.com/trln/marc-to-argot/blob/master/spec/unc_oclcnum_spec.rb,oclc_number[value]UNC1{whole field}complex contraint logic,0,0,n,y,y,,,,,
oclc_number,oclc_number[value],MARC,n,UNC,003,m,"used in complex contraint logic, but value from field not mapped",complex,see notes,https://github.com/trln/marc-to-argot/blob/master/spec/unc_oclcnum_spec.rb,"oclc_number[value]UNC3mused in complex contraint logic, but value from field not mapped",0,0,n,y,y,,,,,
oclc_number,oclc_number[value],MARC,n,UNC,035,a,complex contraint logic,complex,see notes,https://github.com/trln/marc-to-argot/blob/master/spec/unc_oclcnum_spec.rb,oclc_number[value]UNC35acomplex contraint logic,0,0,n,y,y,,,,,
origin_place_facet,origin_place_facet,MARC,y,GEN,752,abcdfgh,none,subelement_to_value,Limited special processing of certain frequent values to disambiguate. See spec/macros/shared/place_of_origin_spec.rb for details,x,origin_place_facetGEN752abcdfghnone,0,0,n,.,.,,,,,
origin_place_search,origin_place_search[value],MARC,y,GEN,752,abcdfgh,none,concat_subelements,x,x,origin_place_search[value]GEN752abcdfghnone,0,0,n,.,.,,,,,
physical_description,physical_description[label],MARC,n,GEN,300,3,none,concat_subelements,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/physical_description_and_related_fields.adoc,physical_description[label]GEN3003none,0,0,n,,y,,,,,
physical_description,physical_description[value],MARC,n,GEN,300,abcefg,none,concat_subelements,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/physical_description_and_related_fields.adoc,physical_description[value]GEN300abcefgnone,0,0,n,,y,,,,,
physical_description_details,physical_description_details[label],MARC,n,GEN,340,{na},$a AND $3,constant, = #{$3value}: Base/substrate material,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/physical_description_and_related_fields.adoc#code-physical_description_details-code,physical_description_details[label]GEN340{na}$a AND $3,0,0,n,n,y,,,,,
physical_description_details,physical_description_details[label],MARC,n,GEN,340,{na},$m AND $3,constant, = #{$3value}: Book format,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/physical_description_and_related_fields.adoc#code-physical_description_details-code,physical_description_details[label]GEN340{na}$m AND $3,0,0,n,n,y,,,,,
physical_description_details,physical_description_details[label],MARC,n,GEN,340,{na},$g AND $3,constant, = #{$3value}: Color characteristics,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/physical_description_and_related_fields.adoc#code-physical_description_details-code,physical_description_details[label]GEN340{na}$g AND $3,0,0,n,n,y,,,,,
physical_description_details,physical_description_details[label],MARC,n,GEN,340,{na},$b AND $3,constant, = #{$3value}: Dimensions,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/physical_description_and_related_fields.adoc#code-physical_description_details-code,physical_description_details[label]GEN340{na}$b AND $3,0,0,n,n,y,,,,,
physical_description_details,physical_description_details[label],MARC,n,GEN,340,{na},$n AND $3,constant, = #{$3value}: Font size,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/physical_description_and_related_fields.adoc#code-physical_description_details-code,physical_description_details[label]GEN340{na}$n AND $3,0,0,n,n,y,,,,,
physical_description_details,physical_description_details[label],MARC,n,GEN,340,{na},$h AND $3,constant, = #{$3value}: Found in/on,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/physical_description_and_related_fields.adoc#code-physical_description_details-code,physical_description_details[label]GEN340{na}$h AND $3,0,0,n,n,y,,,,,
physical_description_details,physical_description_details[label],MARC,n,GEN,340,{na},$j AND $3,constant, = #{$3value}: Generation of reproduction,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/physical_description_and_related_fields.adoc#code-physical_description_details-code,physical_description_details[label]GEN340{na}$j AND $3,0,0,n,n,y,,,,,
physical_description_details,physical_description_details[label],MARC,n,GEN,340,{na},$k AND $3,constant, = #{$3value}: Layout,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/physical_description_and_related_fields.adoc#code-physical_description_details-code,physical_description_details[label]GEN340{na}$k AND $3,0,0,n,n,y,,,,,
physical_description_details,physical_description_details[label],MARC,n,GEN,340,{na},$c AND $3,constant, = #{$3value}: Medium,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/physical_description_and_related_fields.adoc#code-physical_description_details-code,physical_description_details[label]GEN340{na}$c AND $3,0,0,n,n,y,,,,,
physical_description_details,physical_description_details[label],MARC,n,GEN,340,{na},$o AND $3,constant, = #{$3value}: Polarity,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/physical_description_and_related_fields.adoc#code-physical_description_details-code,physical_description_details[label]GEN340{na}$o AND $3,0,0,n,n,y,,,,,
physical_description_details,physical_description_details[label],MARC,n,GEN,340,{na},$f AND $3,constant, = #{$3value}: Production rate/ratio,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/physical_description_and_related_fields.adoc#code-physical_description_details-code,physical_description_details[label]GEN340{na}$f AND $3,0,0,n,n,y,,,,,
physical_description_details,physical_description_details[label],MARC,n,GEN,340,{na},$e AND $3,constant, = #{$3value}: Support material,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/physical_description_and_related_fields.adoc#code-physical_description_details-code,physical_description_details[label]GEN340{na}$e AND $3,0,0,n,n,y,,,,,
physical_description_details,physical_description_details[label],MARC,n,GEN,340,{na},$d AND $3,constant, = #{$3value}: Technique,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/physical_description_and_related_fields.adoc#code-physical_description_details-code,physical_description_details[label]GEN340{na}$d AND $3,0,0,n,n,y,,,,,
physical_description_details,physical_description_details[label],MARC,n,GEN,340,{na},$i AND $3,constant, = #{$3value}: Use requires,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/physical_description_and_related_fields.adoc#code-physical_description_details-code,physical_description_details[label]GEN340{na}$i AND $3,0,0,n,n,y,,,,,
physical_description_details,physical_description_details[label],MARC,n,GEN,340,{na},$a AND !$3,constant, = Base/substrate material,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/physical_description_and_related_fields.adoc#code-physical_description_details-code,physical_description_details[label]GEN340{na}$a AND !$3,0,0,n,n,y,,,,,
physical_description_details,physical_description_details[label],MARC,n,GEN,340,{na},$m AND !$3,constant, = Book format,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/physical_description_and_related_fields.adoc#code-physical_description_details-code,physical_description_details[label]GEN340{na}$m AND !$3,0,0,n,n,y,,,,,
physical_description_details,physical_description_details[label],MARC,n,GEN,340,{na},$g AND !$3,constant, = Color characteristics,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/physical_description_and_related_fields.adoc#code-physical_description_details-code,physical_description_details[label]GEN340{na}$g AND !$3,0,0,n,n,y,,,,,
physical_description_details,physical_description_details[label],MARC,n,GEN,340,{na},$b AND !$3,constant, = Dimensions,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/physical_description_and_related_fields.adoc#code-physical_description_details-code,physical_description_details[label]GEN340{na}$b AND !$3,0,0,n,n,y,,,,,
physical_description_details,physical_description_details[label],MARC,n,GEN,340,{na},$n AND !$3,constant, = Font size,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/physical_description_and_related_fields.adoc#code-physical_description_details-code,physical_description_details[label]GEN340{na}$n AND !$3,0,0,n,n,y,,,,,
physical_description_details,physical_description_details[label],MARC,n,GEN,340,{na},$h AND !$3,constant, = Found in/on,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/physical_description_and_related_fields.adoc#code-physical_description_details-code,physical_description_details[label]GEN340{na}$h AND !$3,0,0,n,n,y,,,,,
physical_description_details,physical_description_details[label],MARC,n,GEN,340,{na},$j AND !$3,constant, = Generation of reproduction,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/physical_description_and_related_fields.adoc#code-physical_description_details-code,physical_description_details[label]GEN340{na}$j AND !$3,0,0,n,n,y,,,,,
physical_description_details,physical_description_details[label],MARC,n,GEN,340,{na},$k AND !$3,constant, = Layout,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/physical_description_and_related_fields.adoc#code-physical_description_details-code,physical_description_details[label]GEN340{na}$k AND !$3,0,0,n,n,y,,,,,
physical_description_details,physical_description_details[label],MARC,n,GEN,340,{na},$c AND !$3,constant, = Medium,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/physical_description_and_related_fields.adoc#code-physical_description_details-code,physical_description_details[label]GEN340{na}$c AND !$3,0,0,n,n,y,,,,,
physical_description_details,physical_description_details[label],MARC,n,GEN,340,{na},$o AND !$3,constant, = Polarity,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/physical_description_and_related_fields.adoc#code-physical_description_details-code,physical_description_details[label]GEN340{na}$o AND !$3,0,0,n,n,y,,,,,
physical_description_details,physical_description_details[label],MARC,n,GEN,340,{na},$f AND !$3,constant, = Production rate/ratio,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/physical_description_and_related_fields.adoc#code-physical_description_details-code,physical_description_details[label]GEN340{na}$f AND !$3,0,0,n,n,y,,,,,
