element,parent element,definition,rationale,category,provisional,responsibility,obligation,searchable in,retain order,facet,Brief display,Full display,note on display,relevance importance,endeca equivalent,notes,implementation details,documentation,JIRA issue,is parent?,vernacular treatment,vernacular status,element type,argot-ruby processor/pattern,abstract processing pattern,issue ct,mapping ct,done in mta?,tests?,in schema?,,,,,,,,
items[item_id],items,Unique identifier for an item record in host institution's ILS. Could be record number or barcode.,Of possible use for requesting or other features,item data,n,local,"{0,1}",not indexed,x,x,x,x,x,x,Item ID,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/items.md,.,n,na - no vernacular expected,{na},subelement,default,array of serialized JSON strings not flattened,0,1,.,.,.,,,,,,,,
items[loc_b],items,Broad location: Library building/branch/larger location in which the shelving location is found,Inform user what library building or main section/area to go to in order to find the item,item data,n,local,{1},not indexed,x,x,Item list > (mapped to display value) > bold in highlighted row,Item list > (mapped to display value) > bold in highlighted row,x,x,Libraries,x,ILS code. Do not translate to human-readable label in MARC-to-Argot,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/items.md,.,n,na - no vernacular expected,{na},subelement,default,array of serialized JSON strings not flattened,0,2,.,.,.,,,,,,,,
items[loc_n],items,"Narrow location: Area of library, shelving location code for item",Inform user what section/area of stacks to go to in order to find the item,item data,n,local,{1},not indexed,x,x,Item list > (mapped to display value) > unhighlighted row,Item list > (mapped to display value) > unhighlighted row,x,x,Location_property,x,ILS code. Do not translate to human-readable label in MARC-to-Argot,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/items.md,.,n,na - no vernacular expected,{na},subelement,default,array of serialized JSON strings not flattened,0,2,.,.,.,,,,,,,,
items[notes],items,Public notes from the item record,Provide specific information at the copy or volume level. Assist in select and obtain user tasks,item data,n,local,"{0,n}",not indexed,y,x,Item list > ?,Item list > ?,x,x,ItemNotes,x,An item may have more than one item note. They should be displayed in order.,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/items.md,.,n,na - no vernacular expected,{na},subelement,default,array of serialized JSON strings not flattened,0,1,.,.,.,,,,,,,,
items[status],items,Status of individual item,"Shows user whether item is available, library use only, checked out (and when due), missing, etc. Feeds into bib availability value",item data,n,local,{1},not indexed,x,x,Item list > Status column,Item list > Status column,x,x,Statuses,x,"Output human-readable status. Institution-specific status messages are output at item level. These will be mapped to a standardized, central set of broader ""status"" categories for use outside individual item display",https://github.com/trln/data-documentation/blob/master/argot/spec_docs/items.md,.,n,na - no vernacular expected,{na},subelement,default,array of serialized JSON strings not flattened,0,3,.,.,.,,,,,,,,
items[type],items,Type/format for individual item,?,item data,n,local,"{0,1}",not indexed,x,x,x,x,x,x,ItemTypes,x,.,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/items.md,.,n,na - no vernacular expected,{na},subelement,default,array of serialized JSON strings not flattened,0,4,.,.,.,,,,,,,,
items[vol],items,Volume indicator/designator,Tell volumes of serials/sets/etc apart. Sort items? ,item data,n,local,"{0,1}",not indexed,x,x,Item list> Call Number column,Item list> Call Number column,x,x,x,x,.,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/items.md,.,n,na - no vernacular expected,{na},subelement,default,array of serialized JSON strings not flattened,0,1,.,.,.,,,,,,,,
language,x,Language(s) of the content in the material(s) described by the record,"Limit/narrow results by language. Many resources are in more than one language. Users studying languages should be able to find materials that are in ""English and French"" ;;; Display language names in record",.,n,shared,"{0,n}",facet:Language,y,Language,x,? > Language:,x,x,Language,x,"Map language codes to preferred language terms for display (if not storage/indexing) -- http://id.loc.gov/vocabulary/languages.html or http://www.loc.gov/standards/codelists/languages.xml ;;; Retain order because 008 language code is the ""main"" or first language in the item; in 041, codes are assigned in order of importance/amount of content",needed,.,n,na - no vernacular expected,{na},simple element,default,.,0,2,.,.,.,,,,,,,,
lcc_callnum_classification,x,Hierarchical call number facet values for browsing by LC call number range,x,call number,n,shared,"{0,n}",facet:Call Number,x,Call Number,x,x,x,x,LC Class,x,.,needed,.,n,na - no vernacular expected,{na},simple element,default,.,0,3,.,.,.,,,,,,,,
local_id,x,Local record id value used to create id (with prepended institution code),.,ids,n,local,{1},not indexed,x,x,x,x,x,x,LocalId,x,.,needed,.,y,na - parent element -- see subelements,{na},parent element,default,.,0,0,y,.,.,,,,,,,,
local_id[value],local_id,.,.,ids,n,local,{1},not indexed,x,x,x,x,x,x,.,x,.,needed,.,n,na - no vernacular expected,{na},subelement,default,.,0,4,.,.,.,,,,,,,,
location_hierarchy,x,"Higher-level (library, etc.) locations housing volumes/copies of the resource described in the bib record ","Support for abstract, polyhierarchical location facet. Facet limits/excludes BIB records.",.,n,local,"{0,n}",facet:Location,x,Location,x,x,x,x,Location,x,x,https://trlnmain.atlassian.net/wiki/spaces/TD/pages/45056001/Location+item+holding+location+and+location+facet,.,n,na - no vernacular expected,{na},simple element,default,.,0,1,.,.,.,,,,,,,,
misc_id,x,"Various IDs from MARC records (EAN, CODEN, Publisher numbers, etc).","There are MANY possible ID types, many of which are only relevant for certain formats or disciplines. Make a general use IDs field so these can be searched and displayed, without having to define every ID type separately.",ids,n,shared,"{0,n}",not indexed,y,x,x,Other details > (ids cluster) > Other IDs:,x,.,Publisher Number,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/misc_id.adoc,https://trlnmain.atlassian.net/browse/TD-506,y,na - parent element -- see subelements,{na},parent element,misc_id,misc_id,0,0,.,.,.,,,,,,,,
misc_id[display],misc_id,Boolean indicator of whether the data be displayed (default = true) ,x,ids,n,shared,"{0,1}",not indexed,x,x,x,x,x,x,x,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/misc_id.adoc,https://trlnmain.atlassian.net/browse/TD-506,n,na - no vernacular expected,{na},subelement,misc_id,misc_id,0,1,.,.,.,,,,,,,,
misc_id[qual],misc_id,Qualifying information for the id,Info useful for understanding the ID and what it refers to,ids,n,shared,"{0,1}",not indexed,x,x,x,Other details > (ids cluster) > Other IDs:,Displayed after the [value] if populated,x,x,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/misc_id.adoc,https://trlnmain.atlassian.net/browse/TD-506,n,pass through/store vernacular -- no special processing,test/verification needed,subelement,misc_id,misc_id,0,6,.,.,.,,,,,,,,
misc_id[type],misc_id,Type of ID,Label for the id in display. Also maybe used in individual UIs to filter some IDs out of the display,ids,n,shared,{1},not indexed,x,x,x,Other details > (ids cluster) > Other IDs:,"Diplayed as ""#{[type]}: "" prepended to [value]",x,x,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/misc_id.adoc,https://trlnmain.atlassian.net/browse/TD-506,n,na - no vernacular expected,{na},subelement,misc_id,misc_id,0,28,.,.,.,,,,,,,,
misc_id[value],misc_id,Value of ID,x,ids,n,shared,{1},ids;;;keyword,x,x,x,Other details > (ids cluster) > Other IDs:,x,x,x,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/misc_id.adoc,https://trlnmain.atlassian.net/browse/TD-506,n,na - no vernacular expected,{na},subelement,misc_id,misc_id,0,11,.,.,.,,,,,,,,
names,x,All names recorded in name-only (i.e. NOT name/title) fields in the record,.,names,n,shared,"{0,n}",not indexed,y,x,x,"Authors, etc.",x,.,Author;;;Other Authors;;;Main Author,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/_pattern_names.adoc,https://trlnmain.atlassian.net/browse/TD-493,y,na - parent element -- see subelements,{na},parent element,names,names,0,0,.,y,.,,,,,,,,
names[lang],names,Script/language code for field,Apply appropriate Solr language parsers,names,n,shared,"{0,1}",not indexed,x,x,x,x,x,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/vernacular_scripts.adoc,https://trlnmain.atlassian.net/browse/TD-705,n,na - no vernacular expected,{na},subelement,names,names,0,0,n,y,.,,,,,,,,
names[name],names,Name portion,.,names,n,shared,{1},author;;;keyword,x,Author,x,"Authors, etc.",x,.,Author;;;Other Authors;;;Main Author,"Vernacular processing applied to values sent to searchable indexed author fields, NOT values sent to author facet field",See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/_pattern_names.adoc,https://trlnmain.atlassian.net/browse/TD-493,n,vernacular processing needed,implementation needed,subelement,names,names,0,7,.,y,.,,,,,,,,
names[rel],names,Human-readable relator term(s),.,names,n,shared,"{0,n}",keyword,x,x,x,"Authors, etc.",x,.,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/_pattern_names.adoc,https://trlnmain.atlassian.net/browse/TD-493,n,na - no vernacular expected,{na},subelement,names,names,0,7,.,y,.,,,,,,,,
names[type],names,"Name category, derived from relators when they exist. Defaults to 'no_rel' if not explicitly set.","Support dynamic creation of separate Solr field for each type of name, allowing different types of names to be relevance ranked and mapped to Author facet independently",names,n,shared,{1},not indexed,x,x,x,x,x,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/_pattern_names.adoc,https://trlnmain.atlassian.net/browse/TD-493,n,na - no vernacular expected,{na},subelement,names,names,0,7,.,y,.,,,,,,,,
note_access_restrictions,x,Note about access restrictions or lack thereof,"May want to show more prominently than other notes, given that the resource may not be accessible to some users",notes,n,shared,"{0,n}",not indexed,x,x,?,?,"Considered important to display prominently, especially for e-resources. ",x,Access Restriction,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,n,pass through/store vernacular -- no special processing,test/verification needed,simple element,default,display_only_multivalued,0,1,.,.,.,,,,,,,,
note_admin_history,x,Historical info about groups or events involved in the creation of the material described.,x,notes,n,shared,"{0,n}",not indexed,y,x,x,x,x,.,x,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,y,vernacular processing needed,convert to nested element w/lang subelement - map/doc needed,parent element,default,index_and_display_value,0,0,n,.,.,,,,,,,,
note_admin_history[lang],note_admin_history,Script/language code for value,x,notes,n,shared,"{0,1}",not indexed,x,x,x,x,x,.,x,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,.,n,na - no vernacular expected,{na},subelement,default,index_and_display_value,0,0,n,.,.,,,,,,,,
note_admin_history[value],note_admin_history,Value of the field,x,notes,n,shared,{1},keyword,x,x,x,Other details > (notes cluster) > History of originating institution(s):,x,.,x,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,.,n,vernacular processing needed,implementation needed,subelement,default,index_and_display_value,0,1,n,.,.,,,,,,,,
note_binding,x,"Binding information intended primarily for use with antiquarian materials, rare books and other special collections.",Full description of rare materials,notes,n,shared,"{0,n}",not indexed,y,x,x,x,x,.,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,y,na - parent element -- see subelements,{na},parent element,note,.,0,0,.,.,.,,,,,,,,
note_binding[indexed],note_binding,"Whether the note value should be indexed. If not explicitly set to false, assume true.",.,notes,n,shared,"{0,1}",not indexed,x,x,x,x,x,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,n,na - no vernacular expected,test/verification needed,subelement,note,labeled_indexed_value,0,0,.,.,.,,,,,,,,
note_binding[indexed_value],note_binding,"If [value] is populated, contains note that will be indexed differently that it is stored for display (i.e. without labels, etc.). If [value] is NOT populated, this is a searchable-only note which will not be displayed",.,notes,n,shared,"{0,1}",keyword,x,x,x,x,x,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,n,vernacular processing needed,test/verification needed,subelement,note,labeled_indexed_value,0,0,.,.,.,,,,,,,,
note_binding[label],note_binding,Contextualizing label for data in the field,.,notes,n,shared,"{0,1}",not indexed,x,x,x,Other details > (item/copy-specific description cluster) > Binding details:,x,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,n,pass through/store vernacular -- no special processing,test/verification needed,subelement,note,labeled_indexed_value,0,1,.,.,.,,,,,,,,
note_binding[lang],note_binding,Script/language code for field,.,notes,n,shared,"{0,1}",not indexed,x,x,x,x,x,.,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,n,vernacular processing needed,define new subelement - map/doc needed,subelement,note,labeled_indexed_value,0,0,.,.,.,,,,,,,,
note_binding[value],note_binding,"The value of the note field. Is displayed if provided. If not provided, you must provide an indexed_value element, which will be indexed but not displayed. Is indexed if indexing is not turned off and there is not a separate indexed_value set.",.,notes,n,shared,"{0,1}",keyword,x,x,x,Other details > (item/copy-specific description cluster) > Binding details:,x,.,Indexed Notes,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,n,vernacular processing needed,define new subelement - map/doc needed,subelement,note,labeled_indexed_value,0,1,.,.,.,,,,,,,,
note_biographical,x,Biographical info about persons involved in the creation of the material described.,x,notes,n,shared,"{0,n}",not indexed,y,x,x,x,x,.,Biographical Sketch,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,y,vernacular processing needed,convert to nested element w/lang subelement - map/doc needed,parent element,default,index_and_display_value,0,0,n,.,.,,,,,,,,
note_biographical[lang],note_biographical,Script/language code for value,x,notes,n,shared,"{0,1}",not indexed,x,x,x,x,x,.,x,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,.,n,na - no vernacular expected,{na},subelement,default,index_and_display_value,0,0,n,.,.,,,,,,,,
note_biographical[value],note_biographical,Value of the field,x,notes,n,shared,{1},keyword,x,x,x,Other details > (notes cluster) > History of originating institution(s):,x,.,x,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,.,n,vernacular processing needed,implementation needed,subelement,default,index_and_display_value,0,1,n,.,.,,,,,,,,
note_cited_in,x,Information about where this item is cited or indexed,Important to special collections,notes,n,shared,"{0,n}",not indexed,y,x,x,x,x,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-483,y,na - parent element -- see subelements,{na},parent element,note,.,0,0,n,y,.,,,,,,,,
note_cited_in[indexed],note_cited_in,"Whether the note value should be indexed. If not explicitly set to false, assume true.",.,notes,n,shared,"{0,1}",not indexed,x,x,x,x,x,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,n,na - no vernacular expected,test/verification needed,subelement,note,labeled_indexed_value,0,0,.,.,.,,,,,,,,
note_cited_in[indexed_value],note_cited_in,"If [value] is populated, contains note that will be indexed differently that it is stored for display (i.e. without labels, etc.). If [value] is NOT populated, this is a searchable-only note which will not be displayed",x,notes,n,shared,{1},keyword,x,x,x,x,x,low,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-804,n,vernacular processing needed,define new subelement - map/doc needed,subelement,note,.,0,1,.,.,.,,,,,,,,
note_cited_in[label],note_cited_in,Contextualizing label for data in the field,x,notes,n,shared,"{0,1}",not indexed,x,x,x,Other details > (notes cluster) > Cited in:,x,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-804,n,pass through/store vernacular -- no special processing,test/verification needed,subelement,note,.,0,1,.,.,.,,,,,,,,
note_cited_in[value],note_cited_in,"The value of the note field. Is displayed if provided. If not provided, you must provide an indexed_value element, which will be indexed but not displayed. Is indexed if indexing is not turned off and there is not a separate indexed_value set.",x,notes,n,shared,"{0,1}",keyword,x,x,x,Other details > (notes cluster) > Cited in:,x,low,Notes,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-804,n,vernacular processing needed,define new subelement - map/doc needed,subelement,note,.,0,1,.,.,.,,,,,,,,
note_copy_version,x,Information that distinguishes the copy(s) or version(s) of materials when more than one copy or version exists or could exist.,Support identification/selection of resources,notes,n,shared,"{0,n}",not indexed,y,x,x,Other details > (item/copy-specific description cluster) > (no label),x,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,n,pass through/store vernacular -- no special processing,test/verification needed,simple element,default,.,0,1,.,.,.,,,,,,,,
note_data_quality,x,Provides a general assessment of the quality of the data set constituting the item.,.,notes,n,shared,"{0,n}",not indexed,x,x,x,Other details > (data description cluster) > Data quality:,x,x,Notes,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,n,pass through/store vernacular -- no special processing,test/verification needed,simple element,default,.,0,1,n,n,.,,,,,,,,
note_described_by,x,"Provides information on indexes, finding aids, and other descriptions used to access, use, or control the work described in the record.",.,notes,n,shared,"{0,n}",not indexed,y,x,x,Other details > (notes cluster) > Described by:,x,x,Cumulative Indexes,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-483,n,pass through/store vernacular -- no special processing,test/verification needed,simple element,default,.,0,3,n,y,.,,,,,,,,
note_dissertation,x,Designation of an academic dissertation or thesis and the institution to which it was presented.,.,notes,n,shared,"{0,n}",not indexed,y,x,x,x,x,.,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,y,vernacular processing needed,convert to nested element w/lang subelement - map/doc needed,parent element,default,index_and_display_value,0,0,n,n,.,,,,,,,,
note_dissertation[lang],note_dissertation,Script/language code for value,x,notes,n,shared,"{0,1}",not indexed,x,x,x,x,x,.,x,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,.,n,na - no vernacular expected,{na},subelement,default,index_and_display_value,0,0,n,.,.,,,,,,,,
note_dissertation[value],note_dissertation,Value of the field,x,notes,n,shared,{1},keyword,x,x,x,Other details > (notes cluster) > History of originating institution(s):,x,.,x,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,.,n,vernacular processing needed,implementation needed,subelement,default,index_and_display_value,0,1,n,.,.,,,,,,,,
note_file_type,x,"General descriptor that characterizes the file (e.g., text, computer program, numeric). Specific information, such as the form or genre of textual material (e.g., biography, dictionaries, indexes) may be included.",May want to show with the rest of the physical-ish item description details,notes,n,shared,"{0,n}",not indexed,y,x,x,Other details > (physical description cluster) > File/data type:,x,.,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,n,pass through/store vernacular -- no special processing,test/verification needed,simple element,default,.,0,1,n,n,.,,,,,,,,
note_former_title,x,Description of the complex relationship between titles proper whenever an intelligible note cannot be system generated from the data in field 247,"Display only because titles should be indexed from 247s, which ideally are coded as indexed only, leaving this note as the place where the titles are displayed)",title-variant,n,shared,"{0,n}",not indexed,y,x,x,(Variant titles cluster),No additional label should be required. Field data typically makes sense on its own.,x,Notes,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,n,pass through/store vernacular -- no special processing,test/verification needed,simple element,default,.,0,1,.,.,.,,,,,,,,
note_general,x,"All notes not included in a more specific field, kept in catalog record order, with labels provided",x,notes,n,shared,"{0,n}",not indexed,y,x,x,Other details > (notes cluster) > Notes: [label]: [value],x,x,Notes,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,y,na - parent element -- see subelements,{na},parent element,note,.,0,0,n,.,.,,,,,,,,
note_general[indexed],note_general,"Whether the note value should be indexed. If not explicitly set to false, assume true.",x,notes,n,shared,"{0,1}",not indexed,x,x,x,x,x,x,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,.,n,na - no vernacular expected,{na},subelement,note,.,0,4,.,.,.,,,,,,,,
note_general[indexed_value],note_general,"If [value] is populated, contains note that will be indexed differently that it is stored for display (i.e. without labels, etc.). If [value] is NOT populated, this is a searchable-only note which will not be displayed",x,notes,n,shared,"{0,1}",keyword,x,x,x,x,x,.,Indexed Notes,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,n,vernacular processing needed,define new subelement - map/doc needed,subelement,note,.,0,1,n,.,.,,,,,,,,
note_general[label],note_general,Intial label portion of note,x,notes,n,shared,"{0,1}",not indexed,x,x,x,Other details > (notes cluster) > Notes: [label]: [value],x,x,Notes,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,n,pass through/store vernacular -- no special processing,test/verification needed,subelement,note,.,0,15,n,.,.,,,,,,,,
note_general[lang],note_general,Script/language code for field,.,notes,n,shared,"{0,1}",not indexed,x,x,x,x,x,.,x,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,n,vernacular processing needed,define new subelement - map/doc needed,subelement,note,labeled_indexed_value,0,0,.,.,.,,,,,,,,
note_general[value],note_general,"The value of the note field. Is displayed if provided. If not provided, you must provide an indexed_value element, which will be indexed but not displayed. Is indexed if indexing is not turned off and there is not a separate indexed_value set.",x,notes,n,shared,"{0,1}",keyword,x,x,x,Other details > (notes cluster) > Notes: [label]: [value],x,x,Notes,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,n,vernacular processing needed,define new subelement - map/doc needed,subelement,note,.,0,11,n,.,.,,,,,,,,
note_issuance,x,"Information about materials issued with the described resource, or issuing body of the described resource",Includes textual notes on mode of issuance (closely related or synonymous with publication) or those responsible for issuance,notes,n,shared,"{0,n}",not indexed,y,x,x,x,x,.,Notes,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,y,vernacular processing needed,convert to nested element w/lang subelement - map/doc needed,parent element,default,index_and_display_value,0,0,n,.,.,,,,,,,,
note_issuance[lang],note_issuance,Script/language code for value,x,notes,n,shared,"{0,1}",not indexed,x,x,x,x,x,.,x,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,.,n,na - no vernacular expected,{na},subelement,default,index_and_display_value,0,0,n,.,.,,,,,,,,
note_issuance[value],note_issuance,Value of the field,x,notes,n,shared,{1},keyword,x,x,x,Other details > (notes cluster) > History of originating institution(s):,"Show beneath whatever is shown for ""Published:"" Note should be self-explanatory when seen in this context",.,x,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,.,n,vernacular processing needed,partially mapped/doced,subelement,default,index_and_display_value,0,1,n,.,.,,,,,,,,
note_local,x,"Local notes, specific to a given institution",.,notes,n,local,"{0,n}",not indexed,y,x,x,x,x,.,Indexed Notes;;;Notes;;;Source of Acquisition,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,y,na - parent element -- see subelements,{na},parent element,note,.,0,0,n,.,.,,,,,,,,
note_local[indexed],note_local,"Whether the note value should be indexed. If not explicitly set to false, assume true.",.,notes,n,local,"{0,1}",not indexed,x,x,x,x,x,.,Indexed Notes;;;Notes;;;Source of Acquisition,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,n,na - no vernacular expected,{na},subelement,note,.,0,3,n,.,.,,,,,,,,
note_local[indexed_value],note_local,"If [value] is populated, contains note that will be indexed differently that it is stored for display (i.e. without labels, etc.). If [value] is NOT populated, this is a searchable-only note which will not be displayed",.,notes,n,local,"{0,1}",keyword,x,x,x,x,x,.,Indexed Notes;;;Notes;;;Source of Acquisition,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,n,vernacular processing needed,define new subelement - map/doc needed,subelement,note,.,0,1,n,.,.,,,,,,,,
note_local[label],note_local,The contextualizing label for this instance of the field,.,notes,n,local,"{0,1}",not indexed,x,x,x,Other details > (item/copy specific cluster) > (no label),x,.,Indexed Notes;;;Notes;;;Source of Acquisition,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,n,pass through/store vernacular -- no special processing,test/verification needed,subelement,note,.,0,4,n,.,.,,,,,,,,
note_local[lang],note_local,Script/language code for value,x,notes,n,shared,"{0,1}",not indexed,x,x,x,x,x,.,x,x,x,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,.,n,na - no vernacular expected,{na},subelement,default,index_and_display_value,0,0,n,.,.,,,,,,,,
note_local[value],note_local,"The value of the note field. Is displayed if provided. If not provided, you must provide an indexed_value element, which will be indexed but not displayed. Is indexed if indexing is not turned off and there is not a separate indexed_value set.",.,notes,n,local,"{0,1}",keyword,x,x,x,Other details > (item/copy specific cluster) > (no label),x,.,Indexed Notes;;;Notes;;;Source of Acquisition,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,n,vernacular processing needed,define new subelement - map/doc needed,subelement,note,.,0,6,n,.,.,,,,,,,,
note_methodology,x,"Information concerning significant methodological characteristics of the material, such as the algorithm, universe description, sampling procedures, classification, or validation characteristics.",x,notes,n,shared,"{0,n}",not indexed,x,x,x,Other details > (data description cluster) > Methodology:,x,x,Notes,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,n,pass through/store vernacular -- no special processing,test/verification needed,simple element,default,.,0,1,.,.,.,,,,,,,,
note_numbering,x,"Unformatted note giving irregularities and peculiarities in numbering or publishing patterns, report year coverage, revised editions, and/or issuance in parts.",.,notes,n,shared,"{0,n}",not indexed,y,x,x,Other details > (serials cluster) > Numbering peculiarities:,x,x,Notes,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-160,n,pass through/store vernacular -- no special processing,test/verification needed,simple element,default,.,0,1,n,n,.,,,,,,,,
note_organization,x,Information about the organization and arrangement of a collection of items,Important for archival materials,notes,n,shared,"{0,n}",not indexed,y,x,x,Other details > (physical description cluster) > Organization/arrangement of collection:,x,x,Organization,x,See linked documentation,https://github.com/trln/data-documentation/blob/master/argot/spec_docs/notes_fields.adoc,https://trlnmain.atlassian.net/browse/TD-477,n,pass through/store vernacular -- no special processing,test/verification needed,simple element,default,.,0,1,.,.,.,,,,,,,,
